Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Lavratura do Termo;Data Lavratura do Aditamento;Data Solicitação Parceria;Data do Encerramento
13752017;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;6016.2017/0057161-7;800410;ASSOCIACAO BENEFICENTE RECANTO CRIANCA FELIZ;08.053.623/0001-34;400321;CR.P.CONV - VIVER E APRENDER;105;36.0;59491.98;6577.13;459.79;01/01/2018;31/12/2022;Aprovado;29/12/2017;19/02/2019;28/12/2017;
249;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;2012-0.304.157-4   ;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400378;CEI INDIR - VILA PIAUI;158;48.0;82334.94;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;14/02/2018;08/08/2014;31/12/2017
239;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2010-0.296.697-0   ;300247;ASSOCIACAO VIA COMUNIDADE;08.871.472/0001-21;400700;CEI INDIR - JARDIM SOARES II;140;41.0;72586.68;;;10/07/2013;09/01/2016;Encerrado;09/01/2011;28/08/2015;18/12/2014;24/07/2015
242018;109100;DIRETORIA REGIONAL DE EDUCACAO SANTO AMARO;6016.2017/0056919-1;800333;ASSOCIACAO DE MORADORES DA MATA VIRGEM - AMOMAV;09.008.283/0001-92;308988;CR.P.CONV - RUBILENE;98;18.0;51774.36;8924.55;423.51;27/12/2017;26/12/2022;Aprovado;27/12/2017;26/03/2019;22/12/2017;
3746;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;2016-0.160.425-0   ;800038;ASSOCIACAO CRISTA DE EDUCACAO INFANTIL SHAMMAH;11.387.514/0001-68;308456;CR.P.CONV - EL SHADAI;149;57.0;80466.81;8400.0;828.65;15/07/2016;14/01/2019;Encerrado;15/07/2016;29/01/2018;19/07/2016;31/12/2017
1022017;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;6016.2017/0050309-3;300830;ASS BENEFICENTE LUZ;04.658.156/0001-15;307879;CR.P.CONV - LUZ;62;25.0;38730.02;5155.97;562.42;09/10/2017;08/10/2022;Aprovado;06/10/2017;08/02/2019;24/08/2017;
12372017;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;6016.2017/0048161-8;300751;INSTITUTO EDUCACIONAL PAIS E FILHOS;08.351.152/0001-40;307192;CR.P.CONV - ASTRIDES GONDIM DE SOUZA;87;38.0;55049.01;6569.43;;01/01/2018;31/12/2022;Aprovado;27/12/2017;05/02/2019;27/12/2017;
2102;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.823-1   ;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;57.184.723/0001-05;306266;CR.P.CONV - JARDIM SHANGRILA - NUCLEO III;120;48.0;69639.84;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;04/01/2018;05/08/2015;31/12/2017
195;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2010-0.122.305-1   ;300523;OBRA SOCIAL SAO JOSE DE VILA ZELINA;48.051.502/0001-78;306469;CR.P.CONV - HELENA DA SILVA TEIXEIRA;80;36.0;50874.08;5569.48;;01/01/2013;30/06/2015;Encerrado;28/06/2010;02/07/2015;03/04/2014;30/06/2015
2445;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;2015-0.287.878-6   ;300029;ACAO SOCIAL SAO MATEUS;45.880.499/0001-07;400731;CEI INDIR - JARDIM ANGELA;158;48.0;82334.94;;;17/11/2015;16/05/2018;Encerrado;17/11/2015;07/02/2018;17/11/2015;01/01/2018
343;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;2013-0.057.118-3   ;300680;ASSOCIACAO MADRE TERESA DE CALCUTA;96.523.063/0001-00;306366;CR.P.CONV - TERESA DE CALCUTA, ME.;131;50.0;70718.55;;;21/07/2015;20/01/2018;Encerrado;10/04/2013;08/02/2018;26/01/2015;31/12/2017
6952017;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;6016.2017/0050684-0;300505;NUCLEO ASSISTENCIAL FRATERNO - NAF;49.826.902/0001-70;400724;CEI INDIR - AUTA DE SOUZA;410;182.0;227467.86;;;01/01/2018;31/12/2022;Aprovado;18/12/2017;30/01/2019;06/12/2017;
2312017;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;6016.2017/0044988-9;300865;ASS NOVA ESPERANCA;00.098.011/0001-56;308263;CR.P.CONV - CANTINHO FELIZ;80;32.0;49912.16;4523.35;697.2;07/11/2017;06/11/2022;Aprovado;06/11/2017;11/10/2018;21/10/2017;
4722017;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;6016.2017/0049800-6;800012;ASSOCIACAO BENEFICENTE EDUCACAO SUPREMA;10.551.403/0001-82;308885;CR.P.CONV - NOVO HORIZONTE;114;16.0;59039.64;7155.26;765.59;23/11/2017;22/11/2022;Aprovado;23/11/2017;14/02/2019;17/11/2017;
0076/SME/2011;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2011-0.043.110-8   ;300397;FUNDACAO COMUNIDADE DA GRACA;01.501.866/0001-49;400704;CEI INDIR - ESPACO DA COMUNIDADE IV;150;54.0;80193.42;;;30/10/2013;29/04/2016;Encerrado;29/04/2011;28/04/2016;24/07/2014;29/04/2016
512;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2012-0.352.639-0   ;300933;ASSOCIACAO BRASILEIRA DE PRESERVACAO DA CAPOEIRA ALIANCA;10.615.297/0001-53;307896;CR.P.CONV - TECENDO O SABER;80;80.0;61455.2;6486.48;;27/02/2013;26/08/2015;Encerrado;27/02/2013;14/04/2015;26/03/2015;
1953;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2015-0.148.488-1   ;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400510;CEI INDIR - BOM RETIRO;100;;;;;20/07/2015;19/01/2018;Encerrado;20/07/2015;23/01/2018;12/06/2015;31/12/2017
140;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2013-0.062.837-1   ;300409;CRECHE CATARINA LABOURE;62.959.333/0001-08;306305;CR.P.CONV - CATARINA LABOURE;216;72.0;114093.36;;;23/07/2015;22/01/2018;Encerrado;27/05/2013;07/02/2018;25/03/2014;31/12/2017
2651;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.043.796-2   ;800047;ACRIA - ASSOCIACAO AMIGA DA CRIANCA E DO ADOLESCENTE;08.875.744/0001-61;400361;CEI INDIR - JARDIM NOVO HORIZONTE;152;64.0;83494.32;;;;;Encerrado;;01/07/2016;27/04/2016;01/07/2016
6932017;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;6016.2017/0050689-0;800058;ASSOCIACAO A PALAVRA DE DEUS;45.878.840/0001-90;308315;CR.P.CONV - BIELZINHO I;70;24.0;42711.22;5839.74;765.59;01/01/2018;31/12/2022;Aprovado;19/12/2017;25/02/2019;06/12/2017;
252018;109100;DIRETORIA REGIONAL DE EDUCACAO SANTO AMARO;6016.2017/0056918-3;300360;CENTRO INTEGRADO DE PROMOCAO SOCIAL;04.941.695/0001-67;308989;CR.P.CONV - JORGINHO;167;57.0;88531.71;18000.0;1383.63;27/12/2017;26/12/2022;Aprovado;27/12/2017;05/02/2019;22/12/2017;
2607;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.295.468-7   ;800191;ASSOCIACAO MAO NO ARADO;18.824.829/0001-74;308677;CR.P.CONV - ANJO DE LUZ;96;47.0;57780.0;10000.0;;04/04/2016;03/10/2018;Encerrado;04/04/2016;31/01/2018;11/03/2016;31/12/2017
182;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;2011-0.186.479-2   ;300742;INSTITUTO AMOR E UNIAO;73.000.911/0001-92;307240;CR.P.CONV - ESTRELA DA MANHA;105;32.0;58530.06;4336.7;;11/04/2014;10/10/2016;Encerrado;11/10/2011;18/10/2016;06/08/2014;10/10/2016
1742017;108800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;6016.2017/0039461-8;800068;CASA DE CARIDADE VOVO ROSALIA E CABOCLA CECY;06.055.363/0001-00;308874;CR.P.CONV - DOCE INFANCIA II;95;;;7275.0;738.34;30/10/2017;29/10/2022;Aprovado;30/10/2017;28/02/2019;26/09/2017;
418;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2012-0.220.567-0   ;300183;ASS GRUPO DE MAES NOVO AMANHECER;58.397.472/0001-00;307862;CR.P.CONV - NOVO AMANHECER ANJO GABRIEL II;98;50.0;59469.72;6000.0;;03/04/2015;02/10/2017;Encerrado;03/10/2012;03/10/2017;12/02/2015;02/10/2017
10512017;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;6016.2017/0056936-1;800060;ACT - ASSOCIACAO CRESCER E TRANSFORMAR;15.392.470/0001-15;308305;CR.P.CONV - NOVA VIDA;127;56.0;70369.23;9000.0;919.41;01/01/2018;31/12/2022;Aprovado;27/12/2017;14/03/2019;20/12/2017;
1872017;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;6016.2017/0051793-0;300684;ASS POPULAR DE SAUDE;04.213.718/0001-17;400711;CEI INDIR - ADHEMAR FERREIRA CASTILHO, PROF;156;51.0;82160.28;;;01/01/2018;31/12/2022;Aprovado;30/11/2017;11/03/2019;02/10/2017;
2371;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2015-0.277.313-5   ;300259;ASS FEMININA VILA ALPINA - PARQUE SAO LUCAS;62.863.162/0001-00;307019;CR.P.CONV - ENCARNACAO ROMERO MARTINS;122;45.0;65483.7;4700.0;;;;Reprovado;;18/03/2016;28/10/2015;
40;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2010-0.123.000-7   ;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400322;CEI INDIR - PONTE PEQUENA;168;69.0;91865.52;;;24/07/2015;23/01/2018;Encerrado;01/03/2013;04/11/2015;28/03/2014;31/10/2015
2092;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.838-0   ;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;57.184.723/0001-05;306274;CR.P.CONV - NOSSA SENHORA APARECIDA;250;91.0;133896.18;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;04/01/2018;05/08/2015;31/12/2017
1908;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2015-0.110.695-0   ;300523;OBRA SOCIAL SAO JOSE DE VILA ZELINA;48.051.502/0001-78;400458;CEI INDIR - ACALANTO;89;39.0;56344.91;;;01/07/2015;31/12/2017;Encerrado;25/06/2015;15/12/2017;05/05/2015;31/12/2017
2702018;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;6016.2017/0048292-4;300016;ACAO COMUNITARIA SENHOR SANTO CRISTO;57.854.473/0001-73;400289;CEI INDIR - MARIA ELISABETE LIMA MOTA;141;53.0;75920.49;;;01/01/2018;31/12/2022;Aprovado;18/01/2018;07/02/2019;18/01/2018;
694;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2010-0.146.141-6   ;300074;ASS BENEFICENTE ESPERANCA DO JARDIM SAO PAULO;55.641.252/0001-91;306887;CR.P.CONV - ESPERANCA;90;32.0;55189.26;6669.81;;28/12/2012;27/06/2015;Encerrado;28/12/2012;14/04/2015;11/09/2014;
10;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;2010-0.294.691-0   ;300029;ACAO SOCIAL SAO MATEUS;45.880.499/0001-07;400731;CEI INDIR - JARDIM ANGELA;158;48.0;82334.94;;;13/01/2011;12/01/2016;Encerrado;13/01/2011;17/11/2015;18/06/2014;17/11/2015
1937;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2015-0.090.493-3   ;300253;CASA DE BENEFICENCIA SAO PAULO;62.657.333/0001-45;400452;CEI INDIR - BENJAMIN ANTONIO SALLES ARCURI;192;90.0;107668.8;;;01/07/2015;31/12/2017;Encerrado;16/06/2015;15/12/2017;21/05/2015;31/12/2017
2624;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.295.492-0   ;300015;ACAO COMUNITARIA SAO JOSE OPERARIO;53.494.894/0001-80;307050;CR.P.CONV - SAO JOSE OPERARIO II;135;25.0;66498.75;10325.89;;01/04/2016;30/09/2018;Encerrado;01/04/2016;14/02/2018;30/03/2016;31/12/2017
1592018;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2017/0046785-2;800014;INSTITUTO DE INTEGRACAO SOCIAL NATALIA REZINO;08.541.431/0001-77;308706;CR.P.CONV - VOVO MARIA;252;105.0;138159.0;1817.96;;01/01/2018;31/12/2022;Aprovado;29/12/2017;20/02/2019;12/01/2018;
378;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2011-0.071.570-0   ;300664;ASS CEDRO DO LIBANO DE PROTECAO A INFANCIA;62.851.811/0001-53;307558;CEI INDIR - CEDRO V - PARQUE ALVES DE LIMA;70;;;;;27/12/2013;26/06/2016;Encerrado;26/12/2013;05/08/2016;28/04/2014;26/06/2016
2075;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.973-4   ;300620;CENTRO SOCIAL DE PARELHEIROS;54.239.041/0001-64;306280;CR.P.CONV - SAO NORBERTO;223;64.0;115305.87;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;04/01/2018;05/08/2015;31/12/2017
2480;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2015-0.306.239-9   ;800100;ASSOCIACAO EM FAVOR E DEFESA DA COMUNIDADE;59.291.278/0001-08;;ELOHIM KADOSH;70;25.0;42951.7;4538.8;;18/12/2015;17/06/2018;Encerrado;18/12/2015;28/07/2016;24/11/2015;18/12/2015
372018;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;6016.2017/0058852-8;300602;UNIAO DOS MORADORES DA VILA PALMEIRAS E ADJACENCIAS;01.922.666/0001-60;307672;CR.P.CONV - MUNDO MAGICO, CEI;90;32.0;55189.26;7923.41;252.77;01/01/2018;31/12/2022;Aprovado;29/12/2017;14/03/2019;03/01/2018;
142;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2010-0.131.156-2   ;300118;ASS CRISTA DE MOCOS DE SAO PAULO;60.982.576/0001-23;400394;CEI INDIR - ITALO BRASIL PORTIERI;121;41.0;64073.73;;;01/01/2013;30/06/2015;Encerrado;14/06/2010;29/07/2015;03/04/2014;30/06/2015
279;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.046-4   ;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400412;CEI INDIR - NOVA ERA, MODULO I;69;27.0;42904.95;;;01/07/2015;31/12/2017;Encerrado;27/12/2012;19/07/2016;24/03/2014;05/07/2016
44;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.262.083-3   ;300954;ASS PRO FAMILIA E BEM ESTAR CASA VERDE;16.382.349/0001-75;308207;CR.P.CONV - RAMSSES II;144;32.0;72214.56;7000.0;;19/05/2017;18/11/2019;Encerrado;01/12/2014;29/12/2017;28/11/2014;31/12/2017
509;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2012-0.253.772-0   ;300564;SOCIAL BOM JESUS;47.468.186/0001-71;306247;CR.P.CONV - NUCLEO MATRIZ;70;;;2240.0;97.72;01/07/2015;31/12/2017;Encerrado;28/12/2012;16/01/2018;04/06/2014;31/12/2017
2720;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2016-0.142.063-0   ;800002;INSTITUTO APOIAR PARA VIDA;55.295.141/0001-70;;CLUBE DAS LETRINHAS II;160;111.0;98381.28;11000.0;7167.2;;;Reprovado;;14/09/2017;27/06/2016;
0023/SME/2010;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2009-0.299.196-1   ;300544;ORGANIZACAO NAO GOVERNAMENTAL - ONG PLENO VIVER;07.561.536/0001-25;306841;CR.P.CONV - PLENO VIVER II;70;25.0;42951.7;3842.5;;09/08/2012;08/02/2015;Encerrado;09/02/2010;31/08/2015;05/08/2014;08/02/2015
9492017;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;6016.2017/0048824-8;300191;ASSOCIACAO PAULISTA DE APOIO A FAMILIA - APAF;07.144.360/0001-06;306681;CR.P.CONV - ACONCHEGO;88;53.0;59183.92;7369.9;2280.54;01/01/2018;31/12/2022;Aprovado;26/12/2017;04/02/2019;18/12/2017;
407;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2011-0.181.297-0   ;300741;ASS DE MORADIA HORTO DO IPE E ADJACENCIAS;05.081.067/0001-11;307643;CR.P.CONV - CAMINHAR;197;50.0;100289.85;;;11/10/2011;10/04/2014;Encerrado;28/12/2012;13/11/2015;10/02/2015;10/04/2014
2462018;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2017/0043786-4;301037;ASS UIRAPURU;13.932.073/0001-63;400759;CEI INDIR - CAMPO LIMPO IV;279;107.0;150737.31;;;01/01/2018;31/12/2022;Aprovado;29/12/2017;28/05/2018;16/01/2018;
252;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.022-7   ;300520;MOVIMENTO ASSISTENCIAL DO BUTANTA;47.242.938/0001-81;306200;CR.P.CONV - NOSSA SENHORA DOS POBRES;72;18.0;42323.76;;;01/07/2015;30/12/2017;Encerrado;26/12/2013;23/02/2018;20/03/2014;30/12/2017
182;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2012-0.256.916-8   ;300073;ASS BENEFICENTE EDUCATIVA;01.470.611/0001-66;306850;CR.P.CONV - VISAO EDUCATIVA;60;25.0;46710.0;4500.0;457.79;24/03/2015;23/09/2017;Encerrado;24/09/2012;18/09/2017;16/07/2014;23/09/2017
315;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2012-0.318.263-1   ;300408;CRECHE CARROSSEL ENCANTADO;00.090.616/0001-09;307267;CR.P.CONV - RECANTO DOS QUERUBINS;104;32.0;58045.92;5654.54;;28/12/2012;27/06/2015;Encerrado;28/12/2012;30/03/2015;16/09/2014;
20170058;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.215.770-0   ;800015;INSTITUTO ATIARA;09.166.472/0001-93;;CEI EMILIA FERREIRO;117;41.0;66504.06;6500.0;3533.04;09/04/2017;08/10/2019;Encerrado;07/04/2017;11/04/2017;11/04/2017;11/04/2017
2471;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2015-0.171.138-1   ;800047;ACRIA - ASSOCIACAO AMIGA DA CRIANCA E DO ADOLESCENTE;08.875.744/0001-61;308399;CR.P.CONV - PARQUE DO LAGO;109;18.0;57099.9;9000.0;;25/07/2015;24/01/2018;Encerrado;25/07/2015;16/01/2018;19/11/2015;31/12/2017
97;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;2011-0.078.845-6   ;300502;INSTITUTO SAO PAULO MELHOR;07.208.563/0001-19;306744;CR.P.CONV - LEONTINA LOURENCO, PROF;67;18.0;39685.21;2338.0;360.27;15/11/2016;14/05/2019;Encerrado;15/05/2014;05/02/2018;31/07/2014;31/12/2017
722018;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;6016.2017/0042133-0;300911;ASSOCIACAO BENEFICENTE SONHO NOSSO;02.698.509/0001-85;400809;CEI INDIR - SONHO NOSSO;221;48.0;110562.09;;;01/01/2018;31/12/2022;Aprovado;29/12/2017;25/02/2019;08/01/2018;
139;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2012-0.165.596-6   ;300158;ASS0CIACAO CEU ESTRELADO;02.456.932/0001-79;307851;CR.P.CONV - CEU ESTRELADO II;149;57.0;80466.81;6500.0;;12/07/2012;11/01/2015;Encerrado;12/07/2012;05/02/2015;11/12/2014;
2563;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.282.299-3   ;300181;INSTITUTO AMA SAO PAULO - AMASP;09.068.229/0001-32;307001;CR.P.CONV - JOAO FERNANDES II;136;32.0;68630.16;7927.78;;01/02/2016;31/07/2018;Encerrado;01/02/2016;19/01/2018;29/01/2016;31/12/2017
121;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2014-0.058.294-2   ;300247;ASSOCIACAO VIA COMUNIDADE;08.871.472/0001-21;400355;CEI INDIR - SITIO CONCEICAO, CEI;148;57.0;80018.76;;;05/06/2014;04/12/2016;Encerrado;05/06/2014;27/08/2015;17/09/2014;24/07/2015
12782017;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;6016.2017/0054644-2;800124;INSTITUTO SILVA E SANTOS;04.048.919/0001-06;308528;CR.P.CONV - CANTINHO DA RENATA;158;59.0;84980.22;10800.0;517.87;01/01/2018;31/12/2022;Aprovado;29/12/2017;22/02/2019;27/12/2017;
4952018;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;6016.2017/0051751-5;300815;INSTITUTO DE ACAO SOCIAL FORCA E VIDA;02.080.755/0001-79;307683;CR.P.CONV - VOVO ADELAIDE;77;27.0;47126.63;4890.0;423.54;01/01/2018;31/12/2022;Aprovado;31/01/2018;06/02/2019;05/02/2018;
5952017;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2017/0046716-0;300707;GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE;67.843.045/0001-07;307877;CR.P.CONV - BELEZINHA II;140;;;6300.0;;;;Encerrado;;02/02/2018;29/11/2017;02/02/2018
2308;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;2015-0.264.773-3   ;800097;ASSOCIACAO DE MAES RENASCER;00.214.082/0001-77;308490;CR.P.CONV - PEQUENINOS DO AMANHECER;100;31.0;55868.88;6300.0;329.85;19/11/2015;18/05/2018;Encerrado;19/11/2015;06/02/2018;15/10/2015;01/01/2018
3734;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2016-0.153.525-9   ;300682;ASS PELO DESENVOLVIMENTO EDUCACIONAL E PROFISSIONAL ADEP;04.482.597/0001-09;308732;CR.P.CONV - RUTH ROCHA;169;71.0;92794.53;12000.0;;09/12/2016;08/06/2019;Encerrado;09/12/2016;27/12/2017;06/07/2016;31/12/2017
2182018;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2017/0043633-7;300579;SOCIEDADE AMIGOS UNIDOS DA RIVIERA E ADJACENCIAS;54.369.954/0001-03;306245;CR.P.CONV - NOSSA SENHORA DO CAMINHO I;70;18.0;41268.34;;;01/01/2018;31/12/2022;Aprovado;29/12/2017;05/02/2018;15/01/2018;
7792018;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;6016.2018/0057232-1;800424;ASSOCIACAO BENEFICENTE CONSTRUINDO O AMANHA;18.070.517/0001-12;309269;CR.P.CONV - CONSTRUINDO O AMANHA;78;66.0;57033.06;7000.0;674.35;31/10/2018;30/10/2023;Aprovado;31/10/2018;26/11/2018;09/10/2018;
3102018;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;6016.2017/0048266-5;800059;ACAO COMUNITARIA ANTONIO FRANCISCO;01.909.145/0001-72;308308;CR.P.CONV - JULIA E JR;65;21.0;39351.23;2880.0;;01/01/2018;31/12/2022;Aprovado;18/01/2018;15/10/2018;18/01/2018;
7602017;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;6016.2017/0050742-0;800012;ASSOCIACAO BENEFICENTE EDUCACAO SUPREMA;10.551.403/0001-82;308337;CR.P.CONV - FILADELFIA;118;32.0;64823.88;8778.0;959.33;01/01/2019;31/12/2019;Aprovado;18/12/2017;27/12/2018;08/12/2017;
12;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.243.360-6   ;300492;INSTITUTO EDUCAR DE SAO PAULO;04.886.794/0001-93;307915;CR.P.CONV - JARDIM MONTE VERDE;130;130.0;89508.9;11585.2;;08/02/2013;07/08/2015;Encerrado;08/02/2013;13/10/2015;31/07/2014;20/07/2015
1592017;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;6016.2017/0053658-7;800094;ASSOCIACAO CORDEIRINHO;21.946.373/0001-20;308504;CR.P.CONV - CORDEIRINHO;80;;;9270.01;;20/09/2017;19/09/2022;Encerrado;20/09/2017;07/01/2019;22/09/2017;31/12/2018
1969;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2015-0.116.394-5   ;800034;INSTITUTO EDUCACIONAL E CULTURAL PENTAGRAMA ESTRELADO;19.142.529/0001-78;308331;CR.P.CONV - PENTAGRAMA II;64;;;4900.0;20.33;20/07/2015;19/01/2018;Encerrado;20/07/2015;16/01/2018;26/06/2015;31/12/2017
2123;109100;DIRETORIA REGIONAL DE EDUCACAO SANTO AMARO;2015-0.066.681-1   ;300475;GRUPO DE ASSISTENCIA AO IDOSO, A INFANCIA E ADOLESCENCIA;07.040.234/0001-01;307253;CR.P.CONV - CRIA ACAO II ILHA BELA;154;32.0;76695.06;13477.73;;22/04/2015;21/10/2017;Encerrado;22/04/2015;07/02/2018;06/08/2015;21/10/2017
1332018;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;6016.2017/0048183-9;300533;MOVIMENTO DAS MULHERES DE GUAIANASES;67.668.491/0001-14;400698;CEI INDIR - CONJUNTO HABITACIONAL BALTAZAR CISNEROS;160;48.0;83231.04;;;01/01/2018;31/12/2022;Aprovado;11/01/2018;16/04/2018;11/01/2018;
10772017;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;6016.2017/0057070-0;300378;CLUBE DE MAES DO JARDIM VISTA ALEGRE;58.730.359/0001-02;306930;CR.P.CONV - CANTINHO DA SERRA III;91;32.0;51752.1;4945.8;518.21;01/01/2018;31/12/2022;Aprovado;27/12/2017;14/03/2019;20/12/2017;
13972017;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;6016.2017/0042149-6;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400378;CEI INDIR - VILA PIAUI;153;65.0;84182.85;;;01/01/2018;31/12/2022;Aprovado;27/12/2017;31/01/2018;29/12/2017;
17;109100;DIRETORIA REGIONAL DE EDUCACAO SANTO AMARO;2011-0.009.061-0   ;300724;ASS COMUNITARIA DO JD SAO JORGE E ADJACENCIAS;03.862.123/0001-20;306706;CR.P.CONV - NOSSAS CRIANCAS;70;18.0;41268.34;4000.0;;06/08/2013;05/02/2016;Encerrado;04/02/2011;27/09/2016;28/07/2014;05/02/2016
1432017;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;6016.2017/0045151-4;300821;ASS NOVO HORIZONTE DA CIDADE TIRADENTES;10.651.295/0001-10;307865;CR.P.CONV - VOVO PAULO EMILIO BOZZO;194;14.0;90288.42;6223.2;;19/09/2017;18/09/2022;Aprovado;18/09/2017;05/02/2019;18/09/2017;
