Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas; Vagas Berçário Contratadas ;Total Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Lavratura do Termo;Data Lavratura do Aditamento;Data de Atualização;Data Solicitação Parceria;Data do Encerramento
2492017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046461-6;300581;SOCIEDADE BENEFICENTE EQUILIBRIO DE INTERLAGOS - SOBEI;53.818.191/0001-60;308899;CR.P.CONV - JARDIM DOS IPES;409;188;235479,94;54000;;15/12/2017;14/12/2022;Aprovado;15/12/2017;15/12/2017;05/03/2018;26/10/2017;
1808;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.187.288-2;300581;SOCIEDADE BENEFICENTE EQUILIBRIO DE INTERLAGOS - SOBEI;53.818.191/0001-60;308161;CR.P.CONV - JARDIM DOS PINHEIROS;231;114;138004,5;18576,71;;27/04/2017;26/10/2019;Encerrado;27/10/2014;27/04/2017;04/01/2018;01/04/2015;31/12/2017
2250;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.209-6;300857;SOC BENEF CENTRO DE CULT AFRO-BRASILEIRO ASE YLE DO HOZOOANE;04.609.534/0001-70;308429;CR.P.CONV - JARDIM ELLUS;247;75;140050,79;27825,79;;27/07/2015;26/01/2018;Encerrado;27/07/2015;27/07/2015;04/01/2018;18/09/2015;31/12/2017
2544;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.329.655-1;800047;ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE;08.875.744/0001-61;308645;CR.P.CONV - JARDIM ICARAI;152;57;83784;16512,12;;31/05/2016;29/11/2018;Encerrado;31/05/2016;31/05/2016;04/01/2018;30/12/2015;31/12/2017
2287;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.163-4;300492;INSTITUTO EDUCAR DE SAO PAULO;04.886.794/0001-93;307915;CR.P.CONV - JARDIM MONTE VERDE;133;27;80047,55;11585,2;;21/07/2015;20/01/2018;Encerrado;21/07/2015;21/07/2015;11/01/2018;13/10/2015;31/12/2017
948;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.243.360-6;300492;INSTITUTO EDUCAR DE SAO PAULO;04.886.794/0001-93;307915;CR.P.CONV - JARDIM MONTE VERDE;130;130;90028,4;11585,2;;08/02/2013;07/08/2015;Encerrado;08/02/2013;;13/10/2015;31/07/2014;20/07/2015
2102;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.823-1;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;57.184.723/0001-05;306266;CR.P.CONV - JARDIM SHANGRILA - NUCLEO III;120;48;76979,34;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;01/07/2015;04/01/2018;05/08/2015;31/12/2017
841;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.488-3;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;57.184.723/0001-05;306266;CR.P.CONV - JARDIM SHANGRILA - NUCLEO III;120;48;65490;;;01/01/2013;30/06/2015;Encerrado;28/12/2012;;05/08/2015;29/07/2014;30/06/2015
2254;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.057.484-2;300434;LAR ALTAIR MARTINS;43.657.469/0001-00;308425;CR.P.CONV - JOAO DE TARSO;150;35;89186,45;9340;;24/07/2015;23/01/2018;Encerrado;24/07/2015;24/07/2015;11/01/2018;23/09/2015;31/12/2017
2257;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.182.577-8;300105;ASS COMUNITARIA SAO SIMAO;52.806.478/0001-07;308422;CR.P.CONV - JOSE ROBERTO SOUSA;165;50;99051,8;18524,25;;24/07/2015;23/01/2018;Encerrado;24/07/2015;29/12/2015;04/01/2018;30/09/2015;31/12/2017
2246;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.185.288-0;300082;ASS COMUNITARIA AURI VERDE;67.841.643/0001-39;308421;CR.P.CONV - JURUVA;132;36;81658,56;16081,12;;24/07/2015;23/01/2018;Encerrado;24/07/2015;24/07/2015;04/01/2018;18/09/2015;31/12/2017
2238;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.123.764-7;300745;CENTRO DE AMPARO E REABILITACAO CANAA;13.054.502/0001-47;308392;CR.P.CONV - KADOSHI;240;82;138623,14;20320;;24/07/2015;23/01/2018;Encerrado;24/07/2015;24/07/2015;04/01/2018;10/09/2015;31/12/2017
2713;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.297.453-0;300434;LAR ALTAIR MARTINS;43.657.469/0001-00;307574;CR.P.CONV - KAIROS;175;54;91919,4;;;14/06/2016;13/12/2018;Encerrado;14/06/2016;14/06/2016;23/02/2018;16/06/2016;31/12/2017
964;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.307.227-1;300434;LAR ALTAIR MARTINS;43.657.469/0001-00;307574;CR.P.CONV - KAIROS;175;54;91919,4;;;15/12/2013;14/06/2016;Encerrado;13/12/2013;13/12/2013;16/06/2016;31/07/2014;14/06/2016
2060;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.997-1;300414;CENTRO SOCIAL COMUNITARIO JARDIM PRIMAVERA;47.424.296/0001-31;306271;CR.P.CONV - LEILA ATLAS, CEI;200;50;110914,7;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;01/07/2015;23/02/2018;05/08/2015;31/12/2017
789;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.494-8;300414;CENTRO SOCIAL COMUNITARIO JARDIM PRIMAVERA;47.424.296/0001-31;306271;CR.P.CONV - LEILA ATLAS, CEI;200;50;94640;;;01/01/2013;30/06/2015;Encerrado;27/12/2012;;05/08/2015;28/07/2014;30/06/2015
1809;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.250.129-0;300214;ASSOCIACAO SOCIAL E CULTURAL LETRAS MAGICAS;03.229.467/0001-04;306609;CR.P.CONV - LETRAS MAGICAS, ASS SOC CULT;128;32;76801,1;;;22/09/2014;21/03/2017;Encerrado;22/09/2014;22/09/2014;01/12/2016;01/04/2015;01/12/2016
949;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2008-0.227.183-5;300214;ASSOCIACAO SOCIAL E CULTURAL LETRAS MAGICAS;03.229.467/0001-04;306609;CR.P.CONV - LETRAS MAGICAS, ASS SOC CULT;128;32;65570;;;22/03/2012;21/09/2014;Encerrado;22/09/2009;11/01/2012;31/03/2015;31/07/2014;
2693;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.297.498-0;300261;ASS NINHO CRIANCA ESPERANCA;02.964.406/0001-10;306720;CR.P.CONV - LUDOTECA;126;26;67709,2;15110,78;;06/06/2016;05/12/2018;Encerrado;03/06/2016;03/06/2016;11/01/2018;09/06/2016;31/12/2017
894;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2011-0.071.283-2;300261;ASS NINHO CRIANCA ESPERANCA;02.964.406/0001-10;306720;CR.P.CONV - LUDOTECA;102;26;58043,2;;;06/12/2013;05/06/2016;Encerrado;06/06/2011;30/01/2015;06/06/2016;30/07/2014;05/06/2016
2395;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.121-9;300736;ASS SAO SABAS DE FILANTROPIA;55.050.546/0001-49;307750;CR.P.CONV - LUIZA SOPHIA ROSCHEL;151;18;85760,48;12162,86;;21/07/2015;20/01/2018;Encerrado;21/07/2015;21/07/2015;04/01/2018;04/11/2015;31/12/2017
70;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.130.010-8;300736;ASS SAO SABAS DE FILANTROPIA;55.050.546/0001-49;307750;CR.P.CONV - LUIZA SOPHIA ROSCHEL;80;9;45245,2;5643,12;;27/05/2013;26/11/2015;Encerrado;27/05/2013;;04/11/2015;24/03/2014;20/07/2015
2086;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.842-8;300310;CENTRO DE PROMOCAO SOCIAL BORORE;59.936.781/0001-73;306273;CR.P.CONV - MAE TRABALHADORA;170;57;99897,66;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;;04/01/2018;05/08/2015;31/12/2017
802;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.492-1;300310;CENTRO DE PROMOCAO SOCIAL BORORE;59.936.781/0001-73;306273;CR.P.CONV - MAE TRABALHADORA;170;57;85065;;;01/01/2013;30/06/2015;Encerrado;26/12/2012;;05/08/2015;28/07/2014;30/06/2015
5192017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0050185-6;800206;ASSOCIAÇÃO CULTURAL E EDUCACIONAL MARIA DE NAZARÉ;08.439.816/0001-28;308896;CR.P.CONV - MANOEL DE BARROS;105;32;68598,44;8000;;06/12/2017;05/12/2022;Aprovado;06/12/2017;;06/03/2018;23/11/2017;
20170007;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2017-0.015.323-0;300736;ASS SAO SABAS DE FILANTROPIA;55.050.546/0001-49;306938;CR.P.CONV - MARIA FONSECA LAGO, DONA;187;48;105030,9;20384,3;;03/02/2017;02/08/2019;Encerrado;02/02/2017;;04/01/2018;02/02/2017;31/12/2017
595;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2011-0.099.486-2;300736;ASS SAO SABAS DE FILANTROPIA;55.050.546/0001-49;306938;CR.P.CONV - MARIA FONSECA LAGO, DONA;187;48;105030,9;20384,3;;03/08/2014;02/02/2017;Encerrado;03/02/2012;24/07/2015;17/02/2017;11/07/2014;02/02/2017
2291;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.136.003-1;300492;INSTITUTO EDUCAR DE SAO PAULO;04.886.794/0001-93;306661;CR.P.CONV - MARINHEIRO POPEYE, CEI;94;;56217,88;4000;;21/07/2015;20/01/2018;Encerrado;21/07/2015;21/07/2015;04/01/2018;13/10/2015;31/12/2017
823;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.035.164-7;300492;INSTITUTO EDUCAR DE SAO PAULO;04.886.794/0001-93;306661;CR.P.CONV - MARINHEIRO POPEYE, CEI;95;;49970,4;3923,21;;28/02/2013;27/08/2015;Encerrado;27/02/2013;;13/10/2015;29/07/2014;20/07/2015
202018;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0057762-3;300265;ASSOCIACAO NOSSO CAMINHO;05.928.519/0001-58;308992;CR.P.CONV - MIGUEL ANTONIO;250;112;149737,44;16000;;29/12/2017;28/12/2022;Aprovado;29/12/2017;29/12/2017;14/03/2018;21/12/2017;
2092;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.838-0;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;57.184.723/0001-05;306274;CR.P.CONV - NOSSA SENHORA APARECIDA;250;91;140888,38;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;01/07/2015;04/01/2018;05/08/2015;31/12/2017
796;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.484-0;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;57.184.723/0001-05;306274;CR.P.CONV - NOSSA SENHORA APARECIDA;247;100;120310;;;01/01/2013;30/06/2015;Encerrado;26/12/2012;;05/08/2015;28/07/2014;30/06/2015
799;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.256.644-6;300620;CENTRO SOCIAL DE PARELHEIROS;54.239.041/0001-64;306999;CR.P.CONV - NOSSA SENHORA DAS GRACAS;134;50;75547,6;8361,74;;23/03/2016;22/09/2018;Encerrado;23/09/2013;17/03/2016;03/06/2016;28/07/2014;31/05/2016
2284;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.070-0;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;306269;CR.P.CONV - NOSSA SENHORA DE FATIMA;140;27;83063,29;15000;;21/07/2015;20/01/2018;Encerrado;21/07/2015;21/07/2015;04/01/2018;13/10/2015;31/12/2017
708;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.464-6;300027;INSTITUTO SOCIAL NOSSA SENHORA DE FÁTIMA;43.371.392/0001-08;306269;CR.P.CONV - NOSSA SENHORA DE FATIMA;141;27;69375;;;01/01/2013;30/06/2015;Encerrado;28/12/2012;;13/10/2015;22/07/2014;30/06/2015
2565;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.018.775-3;300277;CASA FREI REGINALDO DE ACOLHIDA A CRIANCA E AO IDOSO;04.427.955/0001-80;306718;CR.P.CONV - NOSSA SENHORA DO CARMO;120;18;63830,4;;;09/02/2016;08/08/2018;Encerrado;05/02/2016;05/02/2016;04/01/2018;29/01/2016;31/12/2017
754;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.353.739-8;300277;CASA FREI REGINALDO DE ACOLHIDA A CRIANCA E AO IDOSO;04.427.955/0001-80;306718;CR.P.CONV - NOSSA SENHORA DO CARMO;120;18;63830,4;;;09/08/2013;08/02/2016;Encerrado;03/02/2011;08/08/2013;10/02/2016;25/07/2014;08/02/2016
934;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.288.952-0;300265;ASSOCIACAO NOSSO CAMINHO;05.928.519/0001-58;306997;CR.P.CONV - NOSSO CAMINHO;134;31;62999;4936,97;;11/04/2016;10/10/2018;Encerrado;11/10/2013;11/10/2013;04/01/2018;31/07/2014;31/12/2017
4845;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.236.835-6;300822;INSTITUTO DE VALORIZACAO COMUNITARIA;08.899.246/0001-59;308740;CR.P.CONV - NOVA AMERICA;207;71;111770,93;24404;;01/12/2016;31/05/2019;Encerrado;30/11/2016;30/11/2016;04/01/2018;01/12/2016;31/12/2017
2280;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.111-1;300214;ASSOCIACAO SOCIAL E CULTURAL LETRAS MAGICAS;03.229.467/0001-04;307916;CR.P.CONV - NOVA AMERICA;207;71;121910,51;24404;;21/07/2015;20/01/2018;Encerrado;21/07/2015;21/07/2015;01/12/2016;09/10/2015;01/12/2016
790;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2011-0.318.592-2;300214;ASSOCIACAO SOCIAL E CULTURAL LETRAS MAGICAS;03.229.467/0001-04;307916;CR.P.CONV - NOVA AMERICA;190;54;97616,4;14500;;28/03/2013;27/09/2015;Encerrado;28/03/2013;27/01/2015;09/10/2015;28/07/2014;20/07/2015
2099;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.781-2;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;52.582.202/0001-92;306504;CR.P.CONV - NUCLEO JD DOS ALAMOS;131;32;78057,14;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;01/07/2015;04/01/2018;05/08/2015;31/12/2017
676;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.437-9;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;52.582.202/0001-92;306504;CR.P.CONV - NUCLEO JD DOS ALAMOS;131;32;66650;;;01/01/2013;30/06/2015;Encerrado;28/12/2012;;05/08/2015;18/07/2014;30/06/2015
2097;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.787-1;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;52.582.202/0001-92;306515;CR.P.CONV - NUCLEO PARQUE RESIDENCIAL COCAIA;134;;72257,82;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;01/07/2015;04/01/2018;05/08/2015;31/12/2017
690;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.460-3;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;52.582.202/0001-92;306515;CR.P.CONV - NUCLEO PARQUE RESIDENCIAL COCAIA;134;;62130;;;01/01/2013;30/06/2015;Encerrado;26/12/2012;;05/08/2015;21/07/2014;30/06/2015
2093;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.792-8;300132;ASS BENEFICENTE O SEMEADOR;01.202.250/0001-77;306505;CR.P.CONV - O SEMEADOR;90;;52824;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;;04/01/2018;05/08/2015;31/12/2017
734;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.466-2;300132;ASS BENEFICENTE O SEMEADOR;01.202.250/0001-77;306505;CR.P.CONV - O SEMEADOR;90;;45420;;;01/01/2013;30/06/2015;Encerrado;26/12/2012;;05/08/2015;24/07/2014;30/06/2015
2404;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.175-8;300620;CENTRO SOCIAL DE PARELHEIROS;54.239.041/0001-64;306717;CR.P.CONV - PAULINOEVA;155;57;96331,69;6491,82;;21/07/2015;20/01/2018;Encerrado;21/07/2015;21/07/2015;04/01/2018;05/11/2015;31/12/2017
1791;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.141.704-8;300620;CENTRO SOCIAL DE PARELHEIROS;54.239.041/0001-64;306717;CR.P.CONV - PAULINOEVA;155;57;84923,4;51,3;;09/06/2013;08/12/2015;Encerrado;07/06/2013;27/01/2015;05/11/2015;30/03/2015;20/07/2015
2094;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.993-9;300202;ASS MADRE CABRINI DAS IRMAS MISSIONARIAS DO SAGRADO CORACAO;61.988.531/0001-29;306277;CR.P.CONV - PEQUENO PRINCIPE;221;50;119706,98;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;01/07/2015;04/01/2018;05/08/2015;31/12/2017
843;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.478-6;300202;ASS MADRE CABRINI DAS IRMAS MISSIONARIAS DO SAGRADO CORACAO;61.988.531/0001-29;306277;CR.P.CONV - PEQUENO PRINCIPE;197;50;93560;;;01/01/2013;30/06/2015;Encerrado;28/12/2012;;05/08/2015;29/07/2014;30/06/2015
1233;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.117.614-0;300480;INSTITUTO ANCHIETA GRAJAU;00.142.507/0001-80;306582;CR.P.CONV - PROJETO ANCHIETA;147;;73303,53;;;12/11/2016;11/05/2019;Encerrado;12/05/2014;12/11/2016;11/01/2018;18/09/2014;31/12/2017
4846;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.237.074-1;300822;INSTITUTO DE VALORIZACAO COMUNITARIA;08.899.246/0001-59;308723;CR.P.CONV - QUATRO ESTACOES;128;32;72454,72;15436,45;;01/12/2016;31/05/2019;Encerrado;30/11/2016;30/11/2016;04/01/2018;01/12/2016;31/12/2017
5252017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0050164-3;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;308901;CR.P.CONV - RECANTO DOS NAVEGANTES;273;82;152840,2;18000;;22/12/2017;21/12/2022;Aprovado;22/12/2017;22/12/2017;05/03/2018;23/11/2017;
798;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.094.274-4;300620;CENTRO SOCIAL DE PARELHEIROS;54.239.041/0001-64;307082;CR.P.CONV - SAGRADA FAMILIA;142;32;77984,58;7262,5;;15/04/2014;14/10/2016;Encerrado;15/04/2014;15/04/2014;03/06/2016;28/07/2014;31/05/2016
192018;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0057695-3;800047;ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE;08.875.744/0001-61;308991;CR.P.CONV - SANTA LUZIA;359;114;197150,56;33600;;29/12/2017;28/12/2022;Aprovado;29/12/2017;29/12/2017;06/03/2018;21/12/2017;
2472017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0045961-2;800047;ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE;08.875.744/0001-61;308898;CR.P.CONV - SANTA MARCELINA;250;57;137259,59;22000;;15/12/2017;14/12/2022;Aprovado;15/12/2017;15/12/2017;07/03/2018;26/10/2017;
2482017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0045349-5;800047;ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE;08.875.744/0001-61;308902;CR.P.CONV - SANTA MARGARIDA;233;115;143094,11;21000;;15/12/2017;14/12/2022;Aprovado;15/12/2017;15/12/2017;07/03/2018;26/10/2017;
2660;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.304.434-0;800047;ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE;08.875.744/0001-61;308639;CR.P.CONV - SANTA MARIA;411;162;203152,2;45000;;13/05/2016;12/11/2018;Encerrado;13/05/2016;13/05/2016;04/01/2018;28/04/2016;31/12/2017
2462017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0045946-9;800047;ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE;08.875.744/0001-61;308900;CR.P.CONV - SANTA RITA;236;64;132816,2;23000;;15/12/2017;14/12/2022;Aprovado;15/12/2017;15/12/2017;07/03/2018;26/10/2017;
2078;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.985-8;300620;CENTRO SOCIAL DE PARELHEIROS;54.239.041/0001-64;306279;CR.P.CONV - SANTA TEREZINHA;219;82;125924,98;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;01/07/2015;04/01/2018;05/08/2015;31/12/2017
808;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.503-0;300620;CENTRO SOCIAL DE PARELHEIROS;54.239.041/0001-64;306279;CR.P.CONV - SANTA TEREZINHA;223;82;108520;;;01/01/2013;30/06/2015;Encerrado;26/12/2012;27/01/2015;05/08/2015;29/07/2014;30/06/2015
4872;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.197.470-8;800264;ASSOCIAÇÃO DE BAIRRO CASA BRANCA PARQUE SÃO MIGUEL;14.393.416/0001-21;308754;CR.P.CONV - SAO FRANCISCO DE ASSIS;255;195;156522,45;31682,7;;20/12/2016;19/06/2019;Encerrado;20/12/2016;20/12/2016;04/01/2018;20/12/2016;31/12/2017
2702017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046108-0;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;306638;CR.P.CONV - SAO LUCAS;183;31;0;;;;;Encerrado;;;30/10/2017;27/10/2017;30/10/2017
2289;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.043-3;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;306638;CR.P.CONV - SAO LUCAS;183;31;102496,03;6217,08;;21/07/2015;20/01/2018;Encerrado;21/07/2015;21/07/2015;04/01/2018;13/10/2015;31/12/2017
852;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.100.143-1;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;306638;CR.P.CONV - SAO LUCAS;183;41;92357,8;5074,65;;27/03/2013;26/09/2015;Encerrado;27/09/2010;31/01/2014;13/10/2015;29/07/2014;20/07/2015
2075;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.973-4;300620;CENTRO SOCIAL DE PARELHEIROS;54.239.041/0001-64;306280;CR.P.CONV - SAO NORBERTO;223;64;123631,06;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;01/07/2015;04/01/2018;05/08/2015;31/12/2017
801;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.498-0;300620;CENTRO SOCIAL DE PARELHEIROS;54.239.041/0001-64;306280;CR.P.CONV - SAO NORBERTO;235;64;109690;;;01/01/2013;30/06/2015;Encerrado;26/12/2012;;05/08/2015;28/07/2014;30/06/2015
2344;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.054-9;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;307397;CR.P.CONV - SAO PEDRO;137;36;83812,66;7132,66;;21/07/2015;20/01/2018;Encerrado;21/07/2015;;04/01/2018;22/10/2015;31/12/2017
2343;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.100.146-6;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;307397;CR.P.CONV - SAO PEDRO;137;36;73887;6888,7;;13/04/2013;12/10/2015;Encerrado;13/10/2010;27/01/2015;22/10/2015;22/10/2015;20/07/2015
2341;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.100.146-6;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;307397;CR.P.CONV - SAO PEDRO;135;34;59580;6000;;13/10/2010;12/04/2013;Encerrado;13/10/2010;02/01/2012;22/10/2015;22/10/2015;10/04/2013
889;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.100.146-6;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;307397;CR.P.CONV - SAO PEDRO;132;40;59502;6000;;13/10/2010;12/04/2013;Encerrado;13/10/2010;30/12/2010;22/10/2015;30/07/2014;12/04/2013
2293;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.201-0;300105;ASS COMUNITARIA SAO SIMAO;52.806.478/0001-07;306903;CR.P.CONV - SAO SIMAO;126;17;74763,11;;;21/07/2015;20/01/2018;Encerrado;21/07/2015;21/07/2015;04/01/2018;13/10/2015;31/12/2017
742;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.077.653-2;300105;ASS COMUNITARIA SAO SIMAO;52.806.478/0001-07;306903;CR.P.CONV - SAO SIMAO;130;;64028,4;;;01/04/2013;30/09/2015;Encerrado;01/04/2013;01/04/2013;13/10/2015;24/07/2014;20/07/2015
