Cod OSC;Nome OSC;CNPJ;Tipo_Logradouro;Nome_Logradouro;Endereco_Numero;Complemento;Bairro;CEP;Representante Legal;Portaria Credenciamento;Validade Credenciamento;Data Descredenciamento;Status Credenciamento;;;;;;;;
300461;NUCLEO ARTESANAL E PROMOCIONAL O PEQUENO MUNDO DE ELLEN;02027786000166;Rua;QUIMANGA;16    ;GUAIANASES;VILA IOLANDA(LAJEADO);8451060;RAIMUNDO GOMES DA SILVA;149;2017-10-20 00:00:00.000;;CREDENCIADA;;;;;;;;
300469;GREMIO BENEFICENTE RECREATIVO JESUS E ESPERANCA;97404362000180;Rua;ALEXANDRE DAVIDENKO;468   ;;CONJUNTO HABITACIONAL BARRO BRANCO II;8473592;MARY CRISTINA DANIEL DE JESUS;;;;CREDENCIADA;;;;;;;;
300481;GSS GRUPO SEMPRE SERVINDO;52808144000172;Rua;GENERAL OTELO FRANCO;48    ;;GUAIANAZES;8441300;MARIO JOAQUIM DE SOUZA;48;2017-07-30 00:00:00.000;;CREDENCIADA;;;;;;;;
300533;MOVIMENTO DAS MULHERES DE GUAIANASES;67668491000114;Rua;COMANDANTE CARLOS RUHL;91    ;;VILA PRINCESA ISABEL;8410130;THEREZINHA FRIDRICH GIANETTI;128;2017-10-11 00:00:00.000;;CREDENCIADA;;;;;;;;
300544;ORGANIZACAO NAO GOVERNAMENTAL - ONG PLENO VIVER;07561536000125;Rua;SATURNINO PEREIRA;517   ;SALA 5;VILA SANTA CRUZ (ZONA LESTE);8411000;MARIA MARCIA DA SILVA ALVES;30;2017-06-11 00:00:00.000;;CREDENCIADA;;;;;;;;
300552;ASS BENEFICENTE CULTURAL E COMUNITARIA LAGEADO VELHO;07366401000109;Rua;MARIANO SPINOSA;41    ;;VILA CHABILÂNDIA;8440370;MARINALVA JOSEFA DOS SANTOS NASCIMENTO;22;2017-09-24 00:00:00.000;;CREDENCIADA;;;;;;;;
300562;ASS BENEFICENTE MOVIMENTO DAS MULHERES DA CIDADE TIRADENTES;00134653000163;Rua;EDGARD LEUENROTH;40    ;;CIDADE TIRADENTES;8471450;CLEITON CARLOS PREMIANO;25;2017-10-12 00:00:00.000;;CREDENCIADA;;;;;;;;
300570;SOCIEDADE AMIGOS DE GUAIANASES;02481393000128;Rua;JERÔNIMO DIAS RIBEIRO;193   ;;JARDIM SÃO PAULO(ZONA LESTE);8461560;STEPHENSON JORGE TEIXEIRA DA COSTA;140;2017-10-11 00:00:00.000;;CREDENCIADA;;;;;;;;
300612;UNIAO POPULAR DE MORADIA ADAO MANOEL DA SILVA;64616246000175;Rua;FRANCISCO GIL DE ARAÚJO;333   ;;JARDIM LOURDES;8452440;VERA LUCIA ALVES;138;2017-10-20 00:00:00.000;;CREDENCIADA;;;;;;;;
300626;INSTITUTO VIDA SAO PAULO;03816478000182;Estrada;ITAQUERA-GUAIANAZES;2542  ;SALA 04;JARDIM HELENA;8420000;ANDREA DAS NEVES NERI DE SANTANA;42;2017-07-25 00:00:00.000;;CREDENCIADA;;;;;;;;
300647;ASS DOS MORADORES SITIO PAIOLZINHO;06001559000112;Rua;PINHEIROS;85    ;;VILA IOLANDA II;8473520;THYAGO FEITOSA BRITO;91;2017-10-03 00:00:00.000;;CREDENCIADA;;;;;;;;
300648;COMUNIDADE KOLPING SAO FRANCISCO DE GUAIANASES;52837093000107;Rua;ANTÔNIO THADEO;59    ;;LAJEADO;8450160;JOSE JOÃO DA SILVA;27;2017-10-12 00:00:00.000;;CREDENCIADA;;;;;;;;
300743;ASS EVOLUCAO DIVINA DOS MORADORES VL SOLANGE E ADJACENCIAS;08297282000142;Rua;LUÍS CARLOS PRADO;127   ;;VILA SOLANGE;8410071;JOSÉ GOMES DE SOUSA;47;2017-07-30 00:00:00.000;;CREDENCIADA;;;;;;;;
300771;ASS E CENTRO DE APOIO SOCIAL DE EDUCACAO PRIMEIROS PASSOS;02459549000174;Rua;FRANCISCO CAPARA;29    ;;JARDIM FANGANIELLO;8450570;AMÉLIA DEBLA DE SÁ;132;2017-10-28 00:00:00.000;;CREDENCIADA;;;;;;;;
300774;INSTITUTO DE EDUCACAO SOCIAL;02236885000158;Avenida;JOSÉ HIGINO NEVES;475   ;APTO 51A;JARDIM SÃO PAULO(ZONA LESTE);8461650;DEBORA CRISTINA DE MEDEIROS;95;2017-10-09 00:00:00.000;;CREDENCIADA;;;;;;;;
300775;ASS NOVA ESPERANCA INACIO MONTEIRO;10627973000109;Rua;CACHOEIRA DO BONFIM;105   ;CASA 1;CONJUNTO HABITACIONAL INÁCIO MONTEIRO;8472390;FERNANDO FLORÊNCIO DA SILVA;;;;CREDENCIADA;;;;;;;;
300786;ASS BENEFICENTE COMUNITARIA MATEUS CIDADE TIRADENTES;05445783000130;Rua;10 G;110   ;RUA SAO CLODOALDO;CIDADE TIRADENTES;8475280;FRNCISCA VIEIRA DA SILVA;10;2017-10-12 00:00:00.000;;CREDENCIADA;;;;;;;;
300789;ASS DE MULHERES UNIDAS DO JARDIM SAO PAULO;11148474000100;Rua;FELICIANO DE MENDONÇA;377   ;;JARDIM SÃO PAULO(ZONA LESTE);8460365;ABELITA DE SOUZA SANTANA;123;2017-10-11 00:00:00.000;;CREDENCIADA;;;;;;;;
300809;ASS AMIGOS DE BAIRRO JK FENIX;10960885000124;Rua;FRANCESCO CORSELLI;52    ;;CONJUNTO HABITACIONAL JUSCELINO KUBITSCH;8465190;ROSEMEIRE PONTENCIANO DE SANTANA;;;;CREDENCIADA;;;;;;;;
300812;ASSOCIAÇÃO BENEFICENTE SANTA FILOMENA;03150516000100;Viela;PLATINA;7     ;;VILA NANCY;8440512;SONIA REGINA FIALHO BENEDITO;118;2017-10-20 00:00:00.000;;CREDENCIADA;;;;;;;;
300837;ASS BENEFICENTE PAULINHAS DE FREIRE;10536575000187;Estrada;DE POÁ;1301  ;;JARDIM SOARES;8460000;MARIA JOSE DOS SANTOS;;;;CREDENCIADA;;;;;;;;
300838;UNIAO DOS POVOS PELA ACAO E CIDADANIA;11224106000195;Rua;DARCI MANO;56    ;;VILA ODETE;8440400;JEFFERSON CARDOSO DE SOUZA;;;;CREDENCIADA;;;;;;;;
300848;ASS RECREATIVA CULTURAL MAIA;01352361000160;Rua;CARLOS PATINO;210   ;;JARDIM FANGANIELLO;8450470;FERNANDA NUNES DOS SANTOS;53;2018-05-23 00:00:00.000;;CREDENCIADA;;;;;;;;
300859;ASS BENEFICENTE PRESENTE DE DEUS;14726622000106;Rua;PEGMATITO;148   ;;PARQUE CENTRAL;8420480;UILIAMS PASSOS DE JESUS;26;2018-04-04 00:00:00.000;;CREDENCIADA;;;;;;;;
300862;ASS DOS MORADORES DO JARDIM AUREA;00585268000132;Travessa;RENASCER;2     ;;PARQUE GUAIANAZES;8431654;MEIRE MARCIA DE JESUS MASCARENHAS;28;2018-06-18 00:00:00.000;;CREDENCIADA;;;;;;;;
300873;INSTITUIÇÃO AQUARELA;03978010000194;Rua;MÁRMORE;18    ;;PARQUE CENTRAL;8420470;MARCIA REGINA MORAIS MOREIRA DE MELLO;62;2018-08-03 00:00:00.000;;CREDENCIADA;;;;;;;;
300882;ASS E DESENVOLV CULTURAL PROJETO PHENIX;12230997000155;Rua;PROFESSOR COSME DEODATO TADEU;1129  ;CASA 3 GUAIANASES;LAJEADO;8450380;MARIA DO MONTE SERRAT ALVES DO NASCIMENTO ROCHA;45;2018-08-30 00:00:00.000;;CREDENCIADA;;;;;;;;
300887;ASS BENEFICENTE EPONINA ROCHA GONCALVES;15799195000159;Rua;DOM JOSÉ ANTÔNIO DO COUTO;19    ;SALA 1;VILA IOLANDA(LAJEADO);8452270;ULISSES MORAIS PORTELA;;2015-09-18 00:00:00.000;;CREDENCIADA;;;;;;;;
300891;ASS RESGATE DO JARDIM SAO JOAO;12135813000178;Rua;RODOLFO ALBINO SILVA;223   ;;JARDIM SÃO JOÃO (GUAIANAZES);8420580;AMALIA MARIA DOS SANTOS;66;2018-09-15 00:00:00.000;;CREDENCIADA;;;;;;;;
300895;ASS COMUNITARIA DAS CRIANCAS CARENTES DA CIDADE TIRADENTES;00309291000102;Rua;REGRESSO FELIZ;71    ;;CONJUNTO HABITACIONAL INÁCIO MONTEIRO;8472210;ELIANE BACELAR MENDES DE SOUZA;70;2018-09-15 00:00:00.000;;CREDENCIADA;;;;;;;;
300903;ASS BENEFICENTE COMUNITARIA IRMAOS MAXI;05000025000109;Rua;COUTINHO E MELO;377   ;A;VILA AUREA;8411090;JEAN MAXI DE PAULA DIONISIO;97;2017-10-09 00:00:00.000;;CREDENCIADA;;;;;;;;
300908;INSTITUTO MARIA CLEUZA DE ACAO SOCIAL;03072993000103;Rua;HIPÓLITO DE CAMARGO;230   ;SALA 02;VILA LOURDES;8410030;CRISTIANO GASPERINE;;;;CREDENCIADA;;;;;;;;
300967;ASS UNIAO DOS MORADORES DO MUTIRAO INACIO MONTEIRO E ADJACEN;96513601000177;Rua;FLORIDO SILVESTRI;45    ;;CONJUNTO HABITACIONAL JUSCELINO KUBITSCH;8465170;MARCOS WEBER GONDIM DE SOUZA;;2016-06-05 00:00:00.000;;CREDENCIADA;;;;;;;;
300970;ASS CULTURAL RECREATIVA E ESPORTIVA ROSA DO HORIZONTE;16838676000199;Rua;SANTA ANASTÁCIA;76    ;;VILA PRINCESA ISABEL;8410550;ROSA MARIA DE OLIVEIRA ISIDORO;;;;CREDENCIADA;;;;;;;;
300973;ASS COMUNITARIA EDUCACIONAL BRILHO DOURADO;10253820000149;Rua;VIRGÍNIA BLASIS;80    ;;LAJEADO;8450260;IVANILDE DOS SANTOS;;2016-06-05 00:00:00.000;;CREDENCIADA;;;;;;;;
300974;INSTITUTO EDUCACIONAL CAUA;10577353000102;Rua;INÁCIO MONTEIRO;897   ;;VILA HORTÊNCIA;8490006;TATIANE SILVA SANTOS;;2016-06-05 00:00:00.000;;CREDENCIADA;;;;;;;;
300986;ASS VOVO JOANA;14865317000103;Rua;JOAQUIM TOURINHO;53    ;;PARADA XV DE NOVEMBRO;8245520;CELSO DE JESUS SANTOS;;2016-06-29 00:00:00.000;;CREDENCIADA;;;;;;;;
300989;ASS COMUNITARIA BARRO BRANCO;64028129000190;Rua;CACHOEIRA DO CAMPO GRANDE;400   ;SALA 1;CONJUNTO HABITACIONAL BARRO BRANCO II;8475020;NELSON BARBOZA NUNES;;2016-06-29 00:00:00.000;;CREDENCIADA;;;;;;;;
300999;ASS E CENTRO DE APOIO SOCIAL DE EDUCACAO ESPACO FELIZ;09371463000134;Rua;FRANCISCO CAPARA;29    ;A;JARDIM FANGANIELLO;8450570;ALLANA DE SÁ SERRANO;;2016-04-16 00:00:00.000;;CREDENCIADA;;;;;;;;
301000;ASS COMUNITARIA HAABI;03325973000199;Rua;EVALDO CALABREZ;1647  ;;VILA PRINCESA ISABEL;8410070;LÚCIA REGINA DOS SANTOS;;;;CREDENCIADA;;;;;;;;
301007;ASS COMUNITARIA OLHANDO PARA O FUTURO;00103221000195;Estrada;DE POÁ;698   ;;JARDIM SOARES;8460000;BRENDA LILIAN JACOMI;;2016-08-23 00:00:00.000;;CREDENCIADA;;;;;;;;
301008;ASS COMUNITARIA SEGUNDO MANDAMENTO;08875376000151;Rua;ANTÔNIO THADEO;148   ;;LAJEADO;8450160;ELZA TELES ALVES;690;2016-08-23 00:00:00.000;;CREDENCIADA;;;;;;;;
301010;SOCIEDADE BENEFIC NUCLEO RECR MAES CARENTES JD AURORA;05570942000129;Rua;PROFESSORA DINA RIZZI;92    ;488;JARDIM AURORA (ZONA LESTE);8431050;MARIA DE LOURDES AURELIANO;;2016-08-20 00:00:00.000;;CREDENCIADA;;;;;;;;
301011;ASS BENEFICENTE LONAN;16479655000124;Rua;ANDES;229   ;;GUAIANAZES;8440180;CIBELE MARQUES APARECIDA DE OLIVEIRA;;2016-08-20 00:00:00.000;;CREDENCIADA;;;;;;;;
301012;ASS QUATRO IRMAOS DE VILA NANCY;00777952000116;Rua;WILSON ACKEL;559   ;;VILA ODETE;8440270;ALEXANDRO APARECIDO LIZARDO;;2016-08-20 00:00:00.000;;CREDENCIADA;;;;;;;;
301023;INSTITUTO EDUCACIONAL AMOR ETERNO;11757726000190;Rua;JOANA DE AUVÉRNIA;610   ;;JARDIM CENTENÁRIO;8430180;APARECIDO DE OLIVEIRA;;2016-09-13 00:00:00.000;;CREDENCIADA;;;;;;;;
301039;ASS CULTURAL E EDUCACIONAL OLHOS BRILHANTES;09310607000142;Rua;HEITOR FERNANDES;18    ;A;LAJEADO;8450410;SIMONE CRISTINA BARREIRA SILVA;;2015-12-05 00:00:00.000;;CREDENCIADA;;;;;;;;
301053;ASS GRAFICOS APRENDIZES CENTRO ORIENTACAO REINTEG ASSIST SOC;07979244000107;Rua;AVE DE PRATA;138   ;;CONJUNTO HABITACIONAL CASTRO ALVES;8474130;MARIA JACILENE DA ROCHA SANTOS;150;2016-10-22 00:00:00.000;;CREDENCIADA;;;;;;;;
301063;INSTITUTO EDUCACIONAL UMA NOVA HISTORIA;03378311000187;Rua;RIACHO BOA ESPERANÇA;38    ;;CONJUNTO HABITACIONAL INÁCIO MONTEIRO;8472555;PETER JORGE SORRENTINO DA SILVA;;2016-11-15 00:00:00.000;;CREDENCIADA;;;;;;;;
301076;ASS ASSISTENCIAL NOVO AMANHECER;09291228000152;Avenida;SANSÃO CASTELO BRANCO;228   ;;JARDIM GUAIANAZES;8431221;CRISTIANE SANTOS DE ALMEIDA;;;;CREDENCIADA;;;;;;;;
301077;CONSCIENCIA RESPONSABILIDADE EDUCACAO E RESPEITO;05235465000145;Rua;CASTELO DE LEÇA;40    ;;JARDIM SOARES;8460161;ANTONIO LUIZ ALMEIDA DO NASCIMENTO JUNIOR;;2016-12-05 00:00:00.000;;CREDENCIADA;;;;;;;;
301090;INSTITUICAO ASS PLANTANDO CULTURA;08242864000121;Rua;DOUTOR ALMÍRIO DE CAMPOS;41    ;A;LAJEADO;8450030;DAVID DE OLIVEIRA DE CARVALHO;4;2017-01-18 00:00:00.000;;CREDENCIADA;;;;;;;;
301091;ASSOCIACAO REVOLUCAO;17587681000139;Rua;PAULO OSÓRIO FLORES;139   ;;JARDIM ETELVINA;8430470;VANESSA DOS SANTOS MORAIS;5;2017-01-18 00:00:00.000;;CREDENCIADA;;;;;;;;
800013;ASSOCIAÇÃO SANTA EDWIGES;09201979000130;Rua;DO COBRE;57    ;SALA 1;CONJUNTO RESIDENCIAL PRESTES MAIA;8490003;ROBSON SILVA SANTOS;136;2017-10-11 00:00:00.000;;CREDENCIADA;;;;;;;;
800016;ASSOCIACAO EDUCATEC;00488319000108;Rua;DOUTOR JOÃO LEAL DA COSTA;87    ;;JARDIM SÃO PAULO(ZONA LESTE);8461460;TARCISIO VIEIRA DE ARAUJO;35;2017-06-11 00:00:00.000;;CREDENCIADA;;;;;;;;
800040;CLUBE DE MÃES DO VILA ROSA;00209341000171;Rua;MONDAÍ;8     ;;VILA PRINCESA ISABEL;8410220;BRUNO NORBERTO DOS SANTOS;36;2017-07-25 00:00:00.000;;CREDENCIADA;;;;;;;;
800042;ASSOCIAÇÃO BENEFICENTE NOVA AURORA;03807011000176;Rua;JAIME OVALE;19    ;;JARDIM PÉROLA I;8474390;LAZARA OLIVEIRA SANTOS GOMES;65;2017-09-03 00:00:00.000;;CREDENCIADA;;;;;;;;
800059;AÇÃO COMUNITARIA ANTONIO FRANCISCO;01909145000172;Rua;JOÃO DE SIQUEIRA AFONSO;394   ;CASA 1;LAJEADO;8452000;VILMA GOIANA DOS SANTOS;32;2017-06-11 00:00:00.000;;CREDENCIADA;;;;;;;;
800077;INSTITUTO DE EDUCAÇÃO INTEGRAÇÃO E ASSISTÊNCIA SOCIAL;03543404000110;Rua;ALPINÓPOLIS;38    ;;VILA PRINCESA ISABEL;8410230;CAROLINE MASCARENHAS DE ALMEIDA;5;2018-07-09 00:00:00.000;;CREDENCIADA;;;;;;;;
800093;ASSOCIAÇÃO PAIS E FILHOS;11694582000170;Rua;CABRAL DE ATAÍDE;479   ;;VILA IOLANDA(LAJEADO);8451120;WILLIAM PARAGUAI;40;2018-06-18 00:00:00.000;;CREDENCIADA;;;;;;;;
800095;ONG ALERTA CRIANÇA;02395963000167;Rua;OLEGÁRIO VICTOR;52    ;;CIDADE TIRADENTES;8471270;EDNILDO JOSÉ ALVES DE LIMA;106;2017-11-04 00:00:00.000;;CREDENCIADA;;;;;;;;
800096;ASSOCIAÇÃO BENEFICENTE COMUNITARIA FAMILIA REIS;04287761000127;Rua;COUTINHO E MELO;622   ;;VILA AUREA;8411090;RAMOM SANTANA DOS REIS;144;2017-12-10 00:00:00.000;;CREDENCIADA;;;;;;;;
800100;ASSOCIAÇÃO EM FAVOR E DEFESA DA COMUNIDADE;59291278000108;Rua;OSCAR CÂMARA;193   ;VILA SANTA LUZIA;VILA GERTRUDES;8460040;JONATHAS RODRIGUES DA SILVA;35;2018-05-21 00:00:00.000;;CREDENCIADA;;;;;;;;
800119;ASSOCIAÇÃO BENEFICENTE ETICA E COMPETENCIA FLOR DE LOTUS;05540392000103;Rua;DOUTOR JOÃO LEAL DA COSTA;342   ;;JARDIM SÃO PAULO(ZONA LESTE);8461460;ANA PAULA DO AMARAL OLIVEIRA MACHADO;42;2018-06-18 00:00:00.000;;CREDENCIADA;;;;;;;;
800121;ASSOCIAÇÃO BENEFICIADORA UNIDOS VENCEREMOS;01267033000165;Rua;ASCENSO DE QUADROS;37    ;CASA 01;GUAIANAZES;8440320;ANA PAULA OLIVEIRA FERREIRA;51;2018-07-14 00:00:00.000;;CREDENCIADA;;;;;;;;
800122;ASSOCIAÇÃO ILE AXE OMO ODE;97334619000174;Rua;JOÃO BADÚE;85    ;;CIDADE TIRADENTES;8471440;MARCIA APARECIDA CARDOSO DE ARAUJO DIAS;15;2018-03-19 00:00:00.000;;CREDENCIADA;;;;;;;;
800127;ASSOCIAÇÃO COMUNITARIA DO MOVIMENTO POPULAR SOCIAL;04036639000188;Rua;CARLO MANNELLI;25    ;;JARDIM GIANETTI;8430210;MARCELO MAGALHAES DOS SANTOS;;;;CREDENCIADA;;;;;;;;
800139;ASSOCIAÇÃO FILHOS DE MARIA;73773749000145;Rua;MOREIRA NETO;1213  ;;JARDIM DO DIVINO;8460600;ANA PAULA VALERIANO;4;2017-02-04 00:00:00.000;;CREDENCIADA;;;;;;;;
800168;ASSOCIAÇÃO COMUNITARIA UNIDA;73863078000103;Rua;FRANCISCO BAJARTE;24    ;;JARDIM SÃO PAULO(ZONA LESTE);8461270;LUCIONE DOS SANTOS CALADO;30;2018-04-30 00:00:00.000;;CREDENCIADA;;;;;;;;
800175;ASSOCIAÇÃO BENEFICENTE JERICOACOARA;20068497000197;Rua;CRUZ JOBIM;388   ;;VILA CARRÃO;3435060;ROBERTO AUGUSTO ALVES NATALI;8;2018-02-07 00:00:00.000;;CREDENCIADA;;;;;;;;
800203;MOVIMENTO DO EDUCAR E APRENDER PARA O FUTURO;21065641000102;Rua;RUA AUGUSTO ALFREDO JOAQUIM;118   ;B;JUSCELINO;8465020;DAFNE FARIAS DA SILVA;168;2018-11-19 00:00:00.000;;CREDENCIADA;;;;;;;;
800215;ASSOCIAÇÃO BENEFICENTE CALLEB;61589511000185;Rua;PROFESSOR FRANCISCO PINHEIRO;1353  ;;VILA PRINCESA ISABEL;8410020;VALDIR DA SILVA;32;2019-05-11 00:00:00.000;;CREDENCIADA;;;;;;;;
800237;ASSOCIAÇÃO BENEFICENTE AMARAL OLIVEIRA;21387770000109;Rua;CRISTÓVÃO MENDES;239   ;;JARDIM SÃO PAULO(ZONA LESTE);8460360;MARCONI SEVERINO DE OLIVEIRA;;;;CREDENCIADA;;;;;;;;
800277;ASSOCIAÇÃO DE MÃES NOSSA SENHORA DE APARECIDA DO KEME I;07177238000136;Rua;JOSÉ BARRETO FILHO;29    ;QUADRA A;JARDIM PÉROLA II;8474400;CRYSTIANE FERNANDES DOS SANTOS;;;;CREDENCIADA;;;;;;;;
800285;ASSOCIAÇÃO BENEFICENTE RENASCENDO - ABR;16796413000164;Rua;BRASIL NATIVO;293   ;;CONJUNTO HABITACIONAL CASTRO ALVES;8474150;LUIZ GONZAGA DE MEDEIROS JUNIOR;;;;CREDENCIADA;;;;;;;;
800288;ASSOCIAÇÃO BENEFICENTE TAFNES VITORIA;22665014000167;Rua;BARÃO JOAQUIM DO AMPARO;113   ;CASA 234;CONJUNTO HABITACIONAL INÁCIO MONTEIRO;8472725;AKEXANDRE MENEZES DA CONCEIÇÃO;;;;CREDENCIADA;;;;;;;;
800291;ASSOCIAÇÃO BENEFICENTE ANDRÉ EVERALDO DE MATOS;12584960000125;Rua;ROSA DO ULTRAMAR;22    ;;LAJEADO;8451240;SANDRA MARIA DE MATOS;;;;CREDENCIADA;;;;;;;;
800292;ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES;21987617000112;Rua;GREGÓRIO BOGOSSIAN;16    ;;CONJUNTO HABITACIONAL SITIO CONCEIÇÃO;8473174;JOSE SANTANA DA COSTA;;;;CREDENCIADA;;;;;;;;
800294;ASSOCIAÇÃO BENEFICENTE RAMALHO COSTA;25299435000100;Rua;OTELO AUGUSTO RIBEIRO;351   ;CASA 2;GUAIANAZES;8412000;NAUDALIPIA RAIMUNDA DOS SANTOS;;;;CREDENCIADA;;;;;;;;
800296;ASSOCIAÇÃO VENTO DE LUZ;03221859000119;Rua;TINGOASSUÍBA;32    ;B;VILA IOLANDA(LAJEADO);8451030;VILMA CERQUEIRA BARREIROS;;;;CREDENCIADA;;;;;;;;
800297;ASSOCIAÇÃO BENEFICENTE FAMILIA FELIZ;07708403000139;Rua;CONJUNTO SÍTIO CONCEIÇÃO;600   ;;CONJUNTO HABITACIONAL SITIO CONCEIÇÃO;8473090;SEVERINO CORREIA DE MOURA;;;;CREDENCIADA;;;;;;;;
800302;ASSOCIAÇÃO BENEFICENTE MARINA;21548824000170;Rua;REI DAVI;29    ;CASA 42 B;CIDADE TIRADENTES;8471730;EDNALDA CAETANO DA SILVA;;;;CREDENCIADA;;;;;;;;
800303;ASSOCIAÇÃO BENEFICENTE JOAQUIM GARCIA;21744691000108;Rua;ÂNGELO PEDROSO;13    ;CASA 4;VILA ABC;8460345;EDMAR VALÉRIO GARCIA;;;;CREDENCIADA;;;;;;;;
800304;ORGANIZACAO BRASIL AFRICANIA;18622341000164;Rua;JOSÉ MARTINEZ;266   ;;CIDADE TIRADENTES;8471120;ELI ALVES RIBEIRO;;;;CREDENCIADA;;;;;;;;
800307;ASSOCIAÇÃO BENEFICENTE FIALHO;17451042000141;Rua;TREVO DE BORGONHA;130   ;;JARDIM DO CAMPO;8440140;APARECIDA DE FÁTIMA FIALHO FRAGA;;;;CREDENCIADA;;;;;;;;
800318;INSTITUTO EDUCACIONAL E SOCIAL VIVA A VIDA;73232225000147;Rua;CACHOEIRA DO BONFIM;133   ;;CONJUNTO HABITACIONAL INÁCIO MONTEIRO;8472390;ISAQUE DOS SANTOS GOMES;43;2018-06-18 00:00:00.000;;CREDENCIADA;;;;;;;;
800322;ASSOCIAÇÃO CONSTRUINDO O AMANHÃ;08519370000141;Rua;JOÃO DOS REIS;253   ;;VILA PRINCESA ISABEL;8410150;LEONARDO GONÇALVES DE MORAES;;;;CREDENCIADA;;;;;;;;
800323;INSTITUTO PAULISTANO DE EDUCAÇÃO - PRESIDENTE CASTELO BRANCO;18312047000156;Rua;VINTE E DOIS DE ABRIL;180   ;;LAJEADO;8450420;KARINA APARECIDA BAPTISTA JUVENCIO;;;;CREDENCIADA;;;;;;;;
800324;ASSOCIAÇÃO BENEFICENTE PEDROSO DA CIDADE TIRADENTES;05161426000140;Rua;DOS TÊXTEIS;905   ;AP 42-B;CHÁCARA SANTA ETELVINA;8490600;WILSON PEDROSO DOS SANTOS;;;;CREDENCIADA;;;;;;;;
800325;ASSOCIAÇÃO PERSEVERANÇA;17390780000126;Rua;CARVALHO DE ARAÚJO;41    ;A;VILA CRUZEIRO;8412020;MARCIA CRISTINE CORDELLI GUIRÃO PEREZ;;;;CREDENCIADA;;;;;;;;
800326;INSTITUTO SOCIAL MENINA DOS OLHOS AZUIS;02661436000157;Rua;JOÃO MACIEL BAIÃO;208   ;FUNDOS;JARDIM FANGANIELLO;8450530;RAMON SOUZA MACHADO;;;;CREDENCIADA;;;;;;;;
800330;ASSOCIAÇÃO ESPERANÇA DE UMA VIDA MELHOR;02825664000115;Rua;DOUTOR JOÃO OTAVIANO PEREIRA;202   ;;JARDIM SÃO PAULO(ZONA LESTE);8461400;MARIA DO CARMO FERNANDES DOS SANTOS;;;;CREDENCIADA;;;;;;;;
800331;ASSOCIAÇÃO DE MORADORES DA V. ROSEIRA DE ASS. SOCIAL DOS JOV;11146546000171;Travessa;BOA FÉ;13    ;;JARDIM DO DIVINO;8460610;MARIETA ANITA DE OLIIVEIRA;;;;CREDENCIADA;;;;;;;;
800332;INSTITUTO ILUMINA TERRA ACAO PARA DESENVOLVIMENTO SOCIAL;08928169000118;Rua;QUINTA DO PAÇO;39    ;SALA 2;VILA MARILENA;8411280;CLAUDIO DIAS FERMINO;;;;CREDENCIADA;;;;;;;;
800335;CENTRO DE REFERENCIA A CRIANCA E AO ADOLESCENTE EM SITUACAO;08843438000143;Rua;SÃO CARLOS DE JACUÍ;33    ;;VILA GERTRUDES;8460050;MARIA DO CARMO DE OLIVEIRA JARDIM;;;;CREDENCIADA;;;;;;;;
800340;ASSOCIAÇÃO FAMILIA SANTANA;07363714000103;Rua;DONATO CALABREZ;98    ;;VILA ZEFIRA;8411120;ALINE SOUZA ROSA;;;;CREDENCIADA;;;;;;;;
800351;ASSOCIAÇÃO EDUCACIONAL BOA ESPERANÇA;08689437000196;Rua;CARLO BARBOSA;142   ;;VILA IOLANDA(LAJEADO);8451580;SILVIO PERIN ROCHA;;;;CREDENCIADA;;;;;;;;
800352;ASSOCIAÇÃO CULTURAL RECREATIVA E ESPORTIVA TULIPA DO SOL;13058098000180;Rua;PROFESSOR FRANCISCO PINHEIRO;437   ;B;VILA PRINCESA ISABEL;8410020;MARGARETH MARIE HIDANI;;;;CREDENCIADA;;;;;;;;
800354;INSTITUTO NACIONAL DE CULTURA E EDUCAÇÃO CIDA POPPI;06967305000153;Rua;GONÇALO RIBEIRO CORÇO;183   ;;JARDIM FANGANIELLO;8450581;JOSE FERREIRA DA SILVA;;;;CREDENCIADA;;;;;;;;
800360;INSTITUTO CAMPOS;03935565000159;Avenida;MIGUEL ACHIOLE DA FONSECA;723   ;CASA 05;JARDIM SÃO PAULO(ZONA LESTE);8461110;DAYANE SALVADOR CAMPOS GALVAO;;;;CREDENCIADA;;;;;;;;
800361;ASSOCIAÇÃO BENEFICENTE COMUNITARIA PEQUENOS PRODIGIOS;03153088000170;Rua;ANTÔNIO SOARES PAIS;325   ;;VILA SÃO GERALDO;8460500;DIOGO RODRIGUES EVANGELISTA;;;;CREDENCIADA;;;;;;;;
800362;ASSOCIAÇÃO MÃOS AMIGAS;19054435000147;Rua;ANDRÉ RODRIGUES;176   ;;JARDIM LAONE;3884050;SIMONE FERNANDES RUAS;;;;CREDENCIADA;;;;;;;;
800366;ASSOCIAÇAO BENEFICENTE COMUNITARIO CAMINHO DA LUZ;03460955000110;Rua;CORONEL MANUEL MACHADO;130   ;;VILA ZEFIRA;8411145;DEBORA SIMIONI SEABRA;;;;CREDENCIADA;;;;;;;;
800367;ASSOCIAÇÃO BENFICIENTE COMUNITARIA BEM QUERER;05585679000141;Rua;CACHOEIRA DA SORTE;131   ;;CONJUNTO HABITACIONAL CASTRO ALVES;8475050;FRANCISCA RIBEIRO DA SILVA;;;;CREDENCIADA;;;;;;;;
