Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código Instituição;Instituição;CNPJ;Código Escola;Unidade Conveniada;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Despesa de Instalação;IPTU;Data Início;Data Término;Situação Convênio;Data Lavratura do Termo;Data Lavratura do Aditamento;Data de Atualização;Data Solicitação Convênio
2293;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.201-0;300105;ASS COMUNITARIA SAO SIMAO;52.806.478/0001-07;306.903;CR.P.CONV - SAO SIMAO;126;17;72.656,54;;;21/07/2015;20/01/2018;Aprovado;21/07/2015;01/02/2017;02/10/2017 10:08;13/10/2015
742;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.077.653-2;300105;ASS COMUNITARIA SAO SIMAO;52.806.478/0001-07;306.903;CR.P.CONV - SAO SIMAO;130;;64.028,40;;;01/04/2013;30/09/2015;Encerrado;01/04/2013;01/04/2013;13/10/2015 13:08;24/07/2014
2249;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.754-3;300265;ASSOCIACAO NOSSO CAMINHO;05.928.519/0001-58;308.426;CR.P.CONV - SETE MARIAS;268;82;146.440,30;24.257,80;;10/08/2015;09/02/2018;Aprovado;10/08/2015;10/08/2015;13/09/2017 13:33;18/09/2015
965;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.343.532-9;300434;LAR ALTAIR MARTINS;43.657.469/0001-00;307.042;CR.P.CONV - TIA DORA;180;;91.517,10;13.724,71;;03/06/2016;02/12/2018;Aprovado;04/12/2013;04/12/2013;23/12/2016 11:10;31/07/2014
2251;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.182.573-5;300082;ASS COMUNITARIA AURI VERDE;67.841.643/0001-39;308.423;CR.P.CONV - TIRIBA;236;75;131.499,18;25.740,00;;24/07/2015;23/01/2018;Aprovado;24/07/2015;24/07/2015;02/10/2017 09:57;18/09/2015
2295;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.156-1;300445;INSTTUTO CRIANCA CIDADA;03.205.769/0001-34;306.660;CR.P.CONV - TRES CORACOES, CRECHE E PRE;226;54;122.682,30;;;21/07/2015;20/01/2018;Aprovado;21/07/2015;01/02/2017;02/02/2017 11:10;13/10/2015
955;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.035.181-7;300445;INSTTUTO CRIANCA CIDADA;03.205.769/0001-34;306.660;CR.P.CONV - TRES CORACOES, CRECHE E PRE;184;36;91.737,60;;;15/02/2013;14/08/2015;Encerrado;14/02/2013;27/01/2015;13/10/2015 13:30;31/07/2014
891;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.077.095-1;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;09.118.844/0001-06;307.083;CR.P.CONV - VARGEM GRANDE;448;157;238.338,70;35.000,00;;03/10/2016;02/04/2019;Aprovado;03/04/2014;03/04/2014;21/07/2017 16:18;30/07/2014
2248;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.182.552-2;301004;NUCLEO DE PROMOCAO SOCIAL VENHA CONOSCO;01.435.552/0001-95;308.427;CR.P.CONV - VENHA CONOSCO - UNIDADE III;228;36;119.551,02;21.032,81;;24/07/2015;23/01/2018;Aprovado;24/07/2015;24/07/2015;08/08/2016 09:51;18/09/2015
1804;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.237.700-9;301004;NUCLEO DE PROMOCAO SOCIAL VENHA CONOSCO;01.435.552/0001-95;306.804;CR.P.CONV - VENHA CONOSCO UNIDADE II;153;16;83.740,42;17.458,52;;03/03/2017;02/09/2019;Aprovado;03/09/2014;24/02/2017;06/03/2017 15:35;31/03/2015
940;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2009-0.016.982-2;300644;ASS LAR RAIO DE SOL;04.961.912/0001-80;306.804;CR.P.CONV - VENHA CONOSCO UNIDADE II;150;;67.890,00;8.566,17;;02/03/2012;01/09/2014;Encerrado;02/09/2009;02/03/2012;09/10/2015 18:25;31/07/2014
2066;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.846-0;300185;ASS DOS MORADORES DA VILA ARCO IRIS;56.098.460/0001-59;306.282;CR.P.CONV - VILA ARCO IRIS I;124;36;76.008,30;;;01/07/2015;31/12/2017;Aprovado;01/07/2015;01/07/2015;15/09/2017 16:26;05/08/2015
935;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.469-7;300185;ASS DOS MORADORES DA VILA ARCO IRIS;56.098.460/0001-59;306.282;CR.P.CONV - VILA ARCO IRIS I;124;36;64.830,00;;;01/01/2013;30/06/2015;Encerrado;28/12/2012;28/12/2012;05/08/2015 10:52;31/07/2014
2071;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.828-2;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;57.184.723/0001-05;306.283;CR.P.CONV - VILA NICARAGUA, CRECHE;117;41;74.078,75;;;01/07/2015;31/12/2017;Aprovado;01/07/2015;01/07/2015;16/08/2017 10:58;05/08/2015
795;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.489-1;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;57.184.723/0001-05;306.283;CR.P.CONV - VILA NICARAGUA, CRECHE;117;41;63.098,00;;;01/01/2013;30/06/2015;Encerrado;28/12/2012;;05/08/2015 11:10;28/07/2014
2692;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.115.402-6;800206;ASSOCIAÇÃO CULTURAL E EDUCACIONAL MARIA DE NAZARÉ;08.439.816/0001-28;306.999;CR.P.CONV - VINICIUS DE MORAES;134;50;83.281,82;8.361,74;;31/05/2016;29/11/2018;Aprovado;31/05/2016;31/05/2016;26/07/2017 13:26;09/06/2016
2244;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.285.671-3;300492;INSTITUTO EDUCAR DE SAO PAULO;04.886.794/0001-93;308.428;CR.P.CONV - VOVO AIDA RAMOS FERREIRA;223;40;118.339,54;14.125,50;;07/08/2015;06/02/2018;Aprovado;07/08/2015;07/08/2015;27/01/2017 17:18;18/09/2015
1860;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.285.676-4;300492;INSTITUTO EDUCAR DE SAO PAULO;04.886.794/0001-93;308.258;CR.P.CONV - VOVO MARIAZINHA ROCHA;316;77;165.434,54;11.365,44;;13/04/2015;12/10/2017;Aprovado;13/04/2015;01/02/2017;02/02/2017 11:05;13/04/2015
2253;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.182.565-4;300434;LAR ALTAIR MARTINS;43.657.469/0001-00;308.443;CR.P.CONV - YANNI;123;57;80.219,70;10.930,77;;24/07/2015;23/01/2018;Aprovado;24/07/2015;24/07/2015;23/12/2016 10:58;18/09/2015
2650;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.082.324-2;800206;ASSOCIAÇÃO CULTURAL E EDUCACIONAL MARIA DE NAZARÉ;08.439.816/0001-28;;MANOEL DE BARROS;109;50;72.443,79;;;;;Em Análise;;;27/04/2016 12:17;27/04/2016
2649;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.082.324-2;800047;ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE;08.875.744/0001-61;;MANOEL DE BARROS;109;50;0;;;;;Encerrado;;;27/04/2016 11:38;27/04/2016
4792;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.209.069-2;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;57.184.723/0001-05;;NOSSA SENHORA DOS ANJOS;210;66;118.629,18;;;;;Em Análise;;;19/09/2016 10:51;19/09/2016
4798;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.172.312-8;300090;ASS COMUNITARIA CANTINHO DO CEU;61.064.770/0001-92;;PIER LUIGI MAMBELLI;240;96;137.803,98;;;;;Em Análise;;;19/09/2016 20:32;19/09/2016
2431;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.304.434-0;800047;ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE;08.875.744/0001-61;;SANTA MARIA;191;145;0;;;;;Encerrado;;;28/04/2016 16:21;13/11/2015
4796;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.197.470-8;800264;ASSOCIAÇÃO DE BAIRRO CASA BRANCA PARQUE SÃO MIGUEL;14.393.416/0001-21;;SAO FRANCISCO DE ASSIS;255;195;0;39.000,00;;;;Encerrado;;;20/12/2016 18:40;19/09/2016
1838;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.285.676-4;300492;INSTITUTO EDUCAR DE SAO PAULO;04.886.794/0001-93;;VOVO MARIAZINHA;250;107;0;11.365,44;;;;Encerrado;;;13/04/2015 14:33;06/04/2015
2473;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.297.980-9;300759;ASSOCIAÇÃO UNIÃO DE MORADORES DO JARDIM VISTA ALEGRE;59.586.347/0001-00;;IVANI CATARINA ARANTES FAZENDA;161;57;0;18.000,00;;;;Encerrado;;;22/01/2016 14:35;19/11/2015
2073;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.161.475-0;300122;ASS CULTURAL ESPORTIVA BENEF VL NOVA CACHOEIRINHA ACEB;06.035.952/0001-27;;CEI ARVORE DA VIDA;204;94;0;13.000,00;;24/07/2015;23/01/2018;Encerrado;24/07/2015;;02/09/2015 10:42;05/08/2015
20170058;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.215.770-0;800015;INSTITUTO ATIARA;09.166.472/0001-93;;CEI EMILIA FERREIRO;117;41;0;6.500,00;3.533,04;09/04/2017;08/10/2019;Encerrado;07/04/2017;;11/04/2017 16:47;11/04/2017
2034;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.427-3;300635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;61.690.467/0001-03;400.335;CEI INDIR - ANTONIO CORREIA;152;77;96.771,02;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;27/12/2012;11/07/2017 18:44;30/07/2015
316;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.427-3;300635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;61.690.467/0001-03;400.335;CEI INDIR - ANTONIO CORREIA;152;68;80.510,00;;;01/07/2015;31/12/2017;Encerrado;27/12/2012;30/06/2015;30/07/2015 19:09;29/05/2014
350;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.583-0;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400.333;CEI INDIR - INACIO DE LIMA OLIVEIRA;183;87;111.954,90;;;21/07/2015;20/01/2018;Aprovado;12/03/2013;12/03/2013;28/07/2017 10:41;30/05/2014
20170044;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2017-0.032.884-7;300242;ASSOCIAÇÃO NANY APPLE EM BENEFICIO DO OBESO E DO CARENTE;06.094.961/0001-99;400.745;CEI INDIR - JARDIM CENTENARIO;313;107;170.792,90;;;16/03/2017;15/09/2019;Aprovado;16/03/2017;16/03/2017;13/07/2017 08:42;13/03/2017
354;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.003.562-0;300242;ASSOCIAÇÃO NANY APPLE EM BENEFICIO DO OBESO E DO CARENTE;06.094.961/0001-99;400.745;CEI INDIR - JARDIM CENTENARIO I;313;107;170.792,90;;;16/09/2014;15/03/2017;Encerrado;16/03/2012;15/09/2014;13/03/2017 14:55;30/05/2014
499;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.450-8;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400.325;CEI INDIR - JARDIM DAMASCENO;160;57;95.710,86;;;01/07/2015;31/12/2017;Aprovado;08/02/2013;30/06/2015;28/07/2017 10:43;04/06/2014
434;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.193.683-3;300378;CLUBE DE MAES DO JARDIM VISTA ALEGRE;58.730.359/0001-02;400.747;CEI INDIR - JARDIM DAMASCENO II;231;96;134.035,86;;;23/04/2015;22/10/2017;Aprovado;23/10/2012;26/12/2014;18/09/2017 06:47;02/06/2014
2467;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.386-6;300425;ASSOCIAÇÃO AMIGOS DE PIANORO;67.983.833/0001-90;400.326;CEI INDIR - JARDIM DOS FRANCOS;180;60;104.745,90;;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015;15/09/2017 08:43;18/11/2015
440;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.322.120-5;300425;ASSOCIAÇÃO AMIGOS DE PIANORO;67.983.833/0001-90;400.326;CEI INDIR - JARDIM DOS FRANCOS;180;60;95.018,40;;;21/11/2013;21/06/2016;Encerrado;21/11/2013;;18/11/2015 14:33;03/06/2014
388;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.067.990-3;300635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;61.690.467/0001-03;400.641;CEI INDIR - JARDIM ELISA MARIA;160;78;100.340,94;;;08/10/2016;07/04/2019;Aprovado;07/04/2014;07/04/2014;11/07/2017 15:06;30/05/2014
481;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.555-5;300635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;61.690.467/0001-03;400.324;CEI INDIR - JARDIM GUARANI;185;87;112.792,26;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;30/06/2015;11/07/2017 15:08;03/06/2014
407;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.105.910-9;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400.575;CEI INDIR - JARDIM ITAGUACU;154;44;90.332,54;;;20/12/2015;19/06/2018;Aprovado;20/06/2013;25/11/2016;28/07/2017 10:44;02/06/2014
2076;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.149.553-0;300355;CENTRO EDUCACIONAL PINGO D AGUA;44.132.165/0001-92;400.330;CEI INDIR - JARDIM MARACANA;151;41;88.415,06;;;21/07/2015;20/01/2018;Aprovado;21/07/2015;21/07/2015;16/09/2017 09:21;05/08/2015
410;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2007-0.099.288-6;300355;CENTRO EDUCACIONAL PINGO D AGUA;44.132.165/0001-92;400.330;CEI INDIR - JARDIM MARACANA;160;43;84.022,40;;;11/05/2013;10/11/2015;Encerrado;11/11/2010;10/05/2013;04/11/2015 17:25;02/06/2014
394;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.453-2;300635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;61.690.467/0001-03;400.331;CEI INDIR - JARDIM TEREZA;158;48;92.889,18;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;29/06/2015;11/07/2017 15:09;30/05/2014
380;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.063.422-3;300635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;61.690.467/0001-03;400.359;CEI INDIR - MENINO JESUS;282;109;158.254,78;;;17/10/2015;16/04/2018;Aprovado;16/04/2013;16/04/2013;11/07/2017 18:35;30/05/2014
423;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.277.193-7;300242;ASSOCIAÇÃO NANY APPLE EM BENEFICIO DO OBESO E DO CARENTE;06.094.961/0001-99;400.591;CEI INDIR - NANY APPLE;100;;52.022,40;2.500,00;;17/11/2013;16/05/2016;Encerrado;14/11/2013;;04/12/2015 10:36;02/06/2014
393;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.532-6;300635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;61.690.467/0001-03;400.358;CEI INDIR - NOSSA SENHORA MAE DE DEUS;122;41;76.273,34;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;29/06/2015;11/07/2017 15:11;30/05/2014
430;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.392-7;300017;ACAO COMUNITARIA TODOS IRMAOS;47.383.864/0001-01;400.357;CEI INDIR - PARQUE MANDI;138;48;84.515,58;;;01/07/2015;31/12/2017;Aprovado;17/12/2012;17/12/2012;16/09/2017 12:19;02/06/2014
382;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.436-2;300211;ASSOCIAÇÃO SAO JOSE DAS SERVAS DA CARIDADE;50.123.496/0001-69;400.347;CEI INDIR - PARQUE PERUCHE;203;68;116.139,38;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;25/06/2015;16/09/2017 11:46;30/05/2014
2361;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.425-0;300580;SOCIEDADE BENEFICENTE CAMINHANDO PARA O FUTURO;47.389.788/0001-33;400.556;CEI INDIR - PINGO DE GENTE;154;66;95.183,10;;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015;24/08/2017 18:39;27/10/2015
331;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.213.058-3;300580;SOCIEDADE BENEFICENTE CAMINHANDO PARA O FUTURO;47.389.788/0001-33;400.556;CEI INDIR - PINGO DE GENTE;154;66;86.343,60;;;08/09/2013;07/03/2016;Encerrado;06/09/2013;;08/12/2015 17:07;29/05/2014
2384;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.406-4;300422;CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA;54.284.823/0001-15;400.594;CEI INDIR - RAIO DE LUZ;60;17;41.778,56;;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015;16/09/2017 08:27;29/10/2015
384;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.334.172-3;300422;CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA;54.284.823/0001-15;400.594;CEI INDIR - RAIO DE LUZ;60;17;37.898,80;;;01/01/2014;30/06/2016;Encerrado;23/12/2013;;01/12/2015 17:09;30/05/2014
2032;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.564-4;300580;SOCIEDADE BENEFICENTE CAMINHANDO PARA O FUTURO;47.389.788/0001-33;400.327;CEI INDIR - TEQUINHO DO CEU;147;59;90.708,98;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;28/12/2012;24/08/2017 18:45;30/07/2015
364;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.564-4;300580;SOCIEDADE BENEFICENTE CAMINHANDO PARA O FUTURO;47.389.788/0001-33;400.327;CEI INDIR - TEQUINHO DO CEU;147;59;77.135,00;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;30/06/2015;30/07/2015 17:26;30/05/2014
2026;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.161.133-6;300017;ACAO COMUNITARIA TODOS IRMAOS;47.383.864/0001-01;400.323;CEI INDIR - VILA NINA;140;50;85.793,90;;;21/07/2015;20/01/2018;Aprovado;21/07/2015;;16/09/2017 12:21;30/07/2015
414;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2008-0.042.127-9;300017;ACAO COMUNITARIA TODOS IRMAOS;47.383.864/0001-01;400.323;CEI INDIR - VILA NINA;140;50;77.826,40;;;16/06/2013;15/12/2015;Encerrado;16/12/2010;07/06/2013;30/07/2015 09:04;02/06/2014
373;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.577-6;300246;ASSOCIAÇÃO EVANGELICA BENEFICENTE - AEB;61.705.877/0001-72;400.334;CEI INDIR - VILA NOVA CACHOEIRINHA;213;75;121.869,54;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;25/06/2015;16/09/2017 11:51;30/05/2014
1442;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.256.280-9;300431;NUCLEO COMUNITARIO DE VILA TEREZINHA;53.054.078/0001-55;400.708;CEI INDIR - VILA NOVA ESPERANCA;217;82;125.087,62;;;21/04/2017;20/10/2019;Aprovado;21/10/2014;20/04/2017;16/09/2017 12:56;16/12/2014
428;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2009-0.214.746-0;300431;NUCLEO COMUNITARIO DE VILA TEREZINHA;53.054.078/0001-55;400.708;CEI INDIR - VILA NOVA ESPERANCA;242;80;115.010,00;;;21/04/2012;20/10/2014;Encerrado;21/10/2009;12/04/2012;16/12/2014 10:31;02/06/2014
20170068;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2017-0.072.118-2;300343;CENTRO DE ACAO SOCIAL ESPERANCA;05.632.423/0001-48;400.664;CEI INDIR - VILA RICA;180;42;100.777,26;;;02/05/2017;01/11/2019;Aprovado;08/05/2017;08/05/2017;16/09/2017 12:15;10/05/2017
2226;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.291.290-7;300343;CENTRO DE ACAO SOCIAL ESPERANCA;05.632.423/0001-48;400.664;CEI INDIR - VILA RICA;180;42;100.777,26;;;29/10/2014;28/04/2017;Encerrado;29/10/2014;;10/05/2017 16:55;31/08/2015
367;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2009-0.324.625-9;300343;CENTRO DE ACAO SOCIAL ESPERANCA;05.632.423/0001-48;400.664;CEI INDIR - VILA RICA;180;42;86.040,00;;;01/09/2012;30/03/2015;Encerrado;01/03/2010;23/08/2012;31/08/2015 19:02;30/05/2014
2399;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.357-2;300892;ASS ABRACO DE MAE;58.726.324/0001-91;308.004;CR.P.CONV - ABRACO DE MAE;188;61;108.315,82;5.000,00;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015;12/07/2017 11:06;04/11/2015
249;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.167.192-0;300892;ASS ABRACO DE MAE;58.726.324/0001-91;308.004;CR.P.CONV - ABRACO DE MAE;143;61;81.165,80;4.500,00;;10/10/2013;09/04/2016;Encerrado;10/10/2013;;25/11/2015 16:12;09/04/2014
311;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.063.429-0;300164;ASS DE MORADORES DE VILA CARBONE;57.059.883/0001-22;306.933;CR.P.CONV - ADONIRAN BARBOSA;142;64;89.717,98;3.265,78;;28/11/2015;27/05/2018;Aprovado;28/05/2013;25/06/2015;01/08/2017 10:37;29/05/2014
2413;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.361-0;300378;CLUBE DE MAES DO JARDIM VISTA ALEGRE;58.730.359/0001-02;306.995;CR.P.CONV - ALAMEDA DO BEBE;116;30;71.201,06;7.050,63;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015;18/09/2017 06:52;09/11/2015
432;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.213.046-0;300378;CLUBE DE MAES DO JARDIM VISTA ALEGRE;58.730.359/0001-02;306.995;CR.P.CONV - ALAMEDA DO BEBE;122;30;66.990,00;5.183,26;;18/09/2013;17/03/2016;Encerrado;05/09/2013;;07/12/2015 15:33;02/06/2014
2038;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.147.399-5;800061;ASS CARIDADE HUMILDADE COMPAIXAO JD ELISA MARIA;07.235.353/0001-10;308.306;CR.P.CONV - AMABILE AGUIAR;93;32;61.236,59;4.800,00;;06/07/2015;05/01/2018;Aprovado;06/07/2015;;27/06/2017 16:17;31/07/2015
2018;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.161.093-3;300056;ASS BENEFICENTE DE AMURT AMURTEL;92.251.354/0003-99;307.423;CR.P.CONV - ANANDA MARGA - UNIVERSO INFANTIL;108;36;68.904,66;2.482,86;;21/07/2015;20/01/2018;Aprovado;21/07/2015;;14/09/2017 18:10;29/07/2015
309;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2010-0.187.160-6;300056;ASS BENEFICENTE DE AMURT AMURTEL;92.251.354/0003-99;307.423;CR.P.CONV - ANANDA MARGA - UNIVERSO INFANTIL;108;36;62.505,60;1.954,95;;03/05/2013;02/11/2015;Encerrado;03/11/2010;02/05/2013;28/07/2015 19:44;29/05/2014
2081;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.063.447-9;300056;ASS BENEFICENTE DE AMURT AMURTEL;92.251.354/0003-99;306.527;CR.P.CONV - ANANDA MARGA, LAR DE CRIANCA;111;45;0;1.142,42;;21/07/2015;20/01/2018;Encerrado;21/07/2015;;16/10/2015 12:32;05/08/2015
319;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.063.447-9;300056;ASS BENEFICENTE DE AMURT AMURTEL;92.251.354/0003-99;306.527;CR.P.CONV - ANANDA MARGA, LAR DE CRIANCA;137;45;83.435,46;2.000,00;;20/11/2015;19/05/2018;Aprovado;21/05/2013;21/05/2013;14/09/2017 18:15;29/05/2014
4793;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2016-0.206.923-5;300200;ASSOCIACAO SAO GABRIEL;09.359.786/0001-02;307.644;CR.P.CONV - ANEU GARANHANI;182;71;108.008,54;6.769,27;;11/10/2016;10/04/2019;Aprovado;11/10/2016;;16/09/2017 12:22;19/09/2016
476;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2011-0.255.129-1;300200;ASSOCIACAO SAO GABRIEL;09.359.786/0001-02;307.644;CR.P.CONV - ANEU GARANHANI;182;71;101.896,18;6.769,27;;11/04/2014;10/10/2016;Encerrado;11/10/2011;11/10/2011;11/10/2016 13:21;03/06/2014
