Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código Instituição;Instituição;Código Escola;Unidade Conveniada;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Despesa de Instalação;IPTU;Data Início;Data Término;Situação Convênio;Data Lavratura do Termo;Data Lavratura do Aditamento
2344;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.054-9;300.249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;307.397;CR.P.CONV - SAO PEDRO;137;36;76.841,63;7.132,66;;21/07/2015;20/01/2018;Aprovado;21/07/2015;
2293;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.201-0;300.105;ASS COMUNITARIA SAO SIMAO;306.903;CR.P.CONV - SAO SIMAO;120;35;69.918,80;;;21/07/2015;20/01/2018;Aprovado;21/07/2015;21/07/2015
2249;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.754-3;300.265;ASSOCIACAO NOSSO CAMINHO;308.426;CR.P.CONV - SETE MARIAS;268;82;138.153,32;24.257,80;;10/08/2015;09/02/2018;Aprovado;10/08/2015;10/08/2015
965;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.343.532-9;300.434;LAR ALTAIR MARTINS;307.042;CR.P.CONV - TIA DORA;180;;86.338,20;13.724,71;;03/06/2016;02/12/2018;Aprovado;04/12/2013;04/12/2013
2251;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.182.573-5;300.082;ASS COMUNITARIA AURI VERDE;308.423;CR.P.CONV - TIRIBA;236;75;124.057,64;25.740,00;;24/07/2015;23/01/2018;Aprovado;24/07/2015;24/07/2015
2295;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.156-1;300.445;INSTTUTO CRIANCA CIDADA;306.660;CR.P.CONV - TRES CORACOES, CRECHE E PRE;206;54;107.839,94;;;21/07/2015;20/01/2018;Aprovado;21/07/2015;21/07/2015
891;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.077.095-1;300.249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;307.083;CR.P.CONV - VARGEM GRANDE;448;157;224.851,52;35.000,00;;03/10/2016;02/04/2019;Aprovado;03/04/2014;30/09/2016
2248;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.182.552-2;301.004;NUCLEO DE PROMOCAO SOCIAL VENHA CONOSCO;308.427;CR.P.CONV - VENHA CONOSCO - UNIDADE III;228;36;112.785,72;21.032,81;;24/07/2015;23/01/2018;Aprovado;24/07/2015;24/07/2015
1804;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.237.700-9;301.004;NUCLEO DE PROMOCAO SOCIAL VENHA CONOSCO;306.804;CR.P.CONV - VENHA CONOSCO UNIDADE II;153;16;79.001,47;17.458,52;;03/09/2014;02/03/2017;Aprovado;03/09/2014;29/12/2015
2066;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.846-0;300.185;ASS DOS MORADORES DA VILA ARCO IRIS;306.282;CR.P.CONV - VILA ARCO IRIS I;124;36;71.706,76;;;01/07/2015;31/12/2017;Aprovado;01/07/2015;01/07/2015
2071;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.828-2;300.311;CENTRO COMUNITARIO JARDIM AUTODROMO;306.283;CR.P.CONV - VILA NICARAGUA, CRECHE;117;41;69.886,37;;;01/07/2015;31/12/2017;Aprovado;01/07/2015;01/07/2015
2692;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.115.402-6;800.206;ASSOCIAÇÃO CULTURAL E EDUCACIONAL MARIA DE NAZARÉ;306.999;CR.P.CONV - VINICIUS DE MORAES;134;50;78.568,66;8.361,74;;31/05/2016;29/11/2018;Aprovado;31/05/2016;
2244;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.285.671-3;300.492;INSTITUTO EDUCAR DE SAO PAULO;308.428;CR.P.CONV - VOVO AIDA RAMOS FERREIRA;210;73;113.371,90;14.125,50;;07/08/2015;06/02/2018;Aprovado;07/08/2015;07/08/2015
1860;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.285.676-4;300.492;INSTITUTO EDUCAR DE SAO PAULO;308.258;CR.P.CONV - VOVO MARIAZINHA ROCHA;302;107;156.782,98;11.365,44;;13/04/2015;12/10/2017;Aprovado;13/04/2015;30/12/2015
2253;108.300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.182.565-4;300.434;LAR ALTAIR MARTINS;308.443;CR.P.CONV - YANNI;123;57;75.679,77;10.930,77;;24/07/2015;23/01/2018;Aprovado;24/07/2015;24/07/2015
2034;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.427-3;300.635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;400.335;CEI INDIR - ANTONIO CORREIA;152;77;91.294,48;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;27/12/2012
350;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.583-0;300.565;SOCIEDADE BENEFICENTE SAO CAMILO;400.333;CEI INDIR - INACIO DE LIMA OLIVEIRA;205;87;114.308,95;;;21/07/2015;20/01/2018;Aprovado;12/03/2013;01/01/2016
354;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.003.562-0;300.242;ASS NANY APPLE EM BENEFICIO DO OBESO E DO CARENTE;400.745;CEI INDIR - JARDIM CENTENARIO I;313;107;161.127,87;;;16/09/2014;15/03/2017;Aprovado;16/03/2012;15/09/2014
499;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.450-8;300.565;SOCIEDADE BENEFICENTE SAO CAMILO;400.325;CEI INDIR - JARDIM DAMASCENO;160;57;90.294,40;;;01/07/2015;31/12/2017;Aprovado;08/02/2013;30/06/2015
434;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.193.683-3;300.378;CLUBE DE MAES DO JARDIM VISTA ALEGRE;400.747;CEI INDIR - JARDIM DAMASCENO II;231;96;126.450,69;;;23/04/2015;22/10/2017;Aprovado;23/10/2012;26/12/2014
2467;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.386-6;300.425;ASSOCIAÇÃO AMIGOS DE PIANORO;400.326;CEI INDIR - JARDIM DOS FRANCOS;180;60;98.818,20;;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015
388;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.067.990-3;300.635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;400.641;CEI INDIR - JARDIM ELISA MARIA;160;78;94.662,40;;;08/10/2016;07/04/2019;Aprovado;07/04/2014;08/10/2016
481;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.555-5;300.635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;400.324;CEI INDIR - JARDIM GUARANI;185;87;106.409,15;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;30/06/2015
407;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.105.910-9;300.565;SOCIEDADE BENEFICENTE SAO CAMILO;400.575;CEI INDIR - JARDIM ITAGUACU;153;41;84.201,47;;;20/12/2015;19/06/2018;Aprovado;20/06/2013;24/07/2015
2076;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.149.553-0;300.355;CENTRO EDUCACIONAL PINGO D AGUA;400.330;CEI INDIR - JARDIM MARACANA;151;43;83.827,49;;;21/07/2015;20/01/2018;Aprovado;21/07/2015;21/07/2015
394;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.453-2;300.635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;400.331;CEI INDIR - JARDIM TEREZA;158;48;87.632,42;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;29/06/2015
380;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.063.422-3;300.635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;400.359;CEI INDIR - MENINO JESUS;282;114;150.339,18;;;17/10/2015;16/04/2018;Aprovado;16/04/2013;16/04/2013
393;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.532-6;300.635;OBRA ASSISTENCIAL NOSSA SENHORA DO O;400.358;CEI INDIR - NOSSA SENHORA MAE DE DEUS;122;41;71.956,78;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;29/06/2015
430;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-3.088.883-9;300.017;ACAO COMUNITARIA TODOS IRMAOS;400.357;CEI INDIR - PARQUE MANDI;138;48;79.732,62;;;01/07/2015;31/12/2017;Aprovado;17/12/2012;30/06/2015
382;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.436-2;300.211;ASSOCIAÇÃO SAO JOSE DAS SERVAS DA CARIDADE;400.347;CEI INDIR - PARQUE PERUCHE;203;68;109.566,97;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;25/06/2015
2361;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.425-0;300.580;SOCIEDADE BENEFICENTE CAMINHANDO PARA O FUTURO;400.556;CEI INDIR - PINGO DE GENTE;154;66;89.796,46;;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015
2384;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.406-4;300.422;CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA;400.594;CEI INDIR - RAIO DE LUZ;60;17;39.414,20;;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015
2032;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.564-4;300.580;SOCIEDADE BENEFICENTE CAMINHANDO PARA O FUTURO;400.327;CEI INDIR - TEQUINHO DO CEU;147;64;86.615,53;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;28/12/2012
2026;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.161.133-6;300.017;ACAO COMUNITARIA TODOS IRMAOS;400.323;CEI INDIR - VILA NINA;140;50;80.938,60;;;21/07/2015;20/01/2018;Aprovado;21/07/2015;
373;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.577-6;300.246;ASSOCIAÇÃO EVANGELICA BENEFICENTE - AEB;400.334;CEI INDIR - VILA NOVA CACHOEIRINHA;213;75;114.972,87;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;25/06/2015
1442;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.256.280-9;300.431;NUCLEO COMUNITARIO DE VILA TEREZINHA;400.708;CEI INDIR - VILA NOVA ESPERANCA;217;82;118.008,83;;;21/10/2014;20/04/2017;Aprovado;21/10/2014;28/10/2014
2226;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.291.290-7;300.343;CENTRO DE ACAO SOCIAL ESPERANCA;400.664;CEI INDIR - VILA RICA;180;42;95.074,20;;;29/10/2014;28/04/2017;Aprovado;29/10/2014;
2399;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.357-2;300.892;ASS ABRACO DE MAE;308.004;CR.P.CONV - ABRACO DE MAE;188;61;102.186,12;5.000,00;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015
311;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.063.429-0;300.164;ASS DE MORADORES DE VILA CARBONE;306.933;CR.P.CONV - ADONIRAN BARBOSA;142;64;84.640,58;3.265,78;;28/11/2015;27/05/2018;Aprovado;28/05/2013;25/06/2015
2413;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.361-0;300.378;CLUBE DE MAES DO JARDIM VISTA ALEGRE;306.995;CR.P.CONV - ALAMEDA DO BEBE;116;30;67.171,56;7.050,63;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015
2038;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.147.399-5;800.061;ASS CARIDADE HUMILDADE COMPAIXAO JD ELISA MARIA;308.306;CR.P.CONV - AMABILE AGUIAR;93;32;57.770,93;4.800,00;;06/07/2015;05/01/2018;Aprovado;06/07/2015;
2018;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.161.093-3;300.056;ASS BENEFICENTE DE AMURT AMURTEL;307.423;CR.P.CONV - ANANDA MARGA - UNIVERSO INFANTIL;108;36;65.005,08;2.482,86;;21/07/2015;20/01/2018;Aprovado;21/07/2015;
319;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.063.447-9;300.056;ASS BENEFICENTE DE AMURT AMURTEL;306.527;CR.P.CONV - ANANDA MARGA, LAR DE CRIANCA;111;45;68.157,51;1.142,42;;20/11/2015;19/05/2018;Aprovado;21/05/2013;21/05/2013
4793;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2016-0.206.923-5;300.200;ASSOCIACAO SAO GABRIEL;307.644;CR.P.CONV - ANEU GARANHANI;182;71;101.896,18;6.769,27;;11/10/2016;10/04/2019;Aprovado;11/10/2016;
1464;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.255.903-4;300.058;ASS BENEFICENTE DE MAES ORDEM E PROGRESSO;306.664;CR.P.CONV - ANGLICANA LINA RODRIGUES;120;32;69.294,80;8.000,00;;01/10/2014;31/03/2017;Aprovado;01/10/2014;
2282;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.445-5;300.455;INSTITUTO BEVENUTTO;308.473;CR.P.CONV - ANIVALDO FERREIRA PADILHA;97;48;62.806,17;6.578,00;;13/11/2015;12/05/2018;Aprovado;13/11/2015;13/11/2015
1718;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.037.857-3;301.047;ASS ESCOLA LIVRE DE ACAO E CIDADANIA ELAC;306.928;CR.P.CONV - ANJO AZUL;157;71;92.021,43;3.500,00;;20/03/2015;19/09/2017;Aprovado;20/03/2015;
442;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.182.267-6;300.164;ASS DE MORADORES DE VILA CARBONE;307.819;CR.P.CONV - AQUARELA DO BRASIL;72;9;43.332,72;2.769,51;;10/02/2015;09/08/2017;Aprovado;10/08/2012;26/12/2014
2406;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.366-1;300.752;ASS DOS MORADORES E PROPRIETARIOS DE VILA BRASILANDIA;307.536;CR.P.CONV - ARCA DA ALIANCA;83;30;52.818,03;2.747,42;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015
2728;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2016-0.146.655-9;800.221;SOCIEDADE AMIGOS PENHA BRASIL;308.691;CR.P.CONV - ARLETE ANIZETE DE OLIVEIRA LIMA;117;41;69.886,37;5.000,00;2.518,97;16/08/2016;15/02/2019;Aprovado;16/08/2016;
2025;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.147.388-0;300.164;ASS DE MORADORES DE VILA CARBONE;307.350;CR.P.CONV - ARY BARROSO;100;61;66.790,60;2.806,93;;21/07/2015;20/01/2018;Aprovado;21/07/2015;
1755;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.302.845-8;300.455;INSTITUTO BEVENUTTO;307.214;CR.P.CONV - ASAS DA VIDA;113;39;67.763,13;4.500,00;;29/10/2014;28/04/2017;Aprovado;28/10/2014;28/10/2014
2517;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.303.115-9;301.102;ASS COMUNITARIA ATITUDE;308.050;CR.P.CONV - ATITUDE DE CRIANCA;101;16;57.857,41;6.000,00;;17/11/2015;16/05/2018;Aprovado;17/11/2015;04/01/2016
324;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.437-0;300.479;GRUPO ESPIRITA BATUIRA;306.284;CR.P.CONV - BATUIRA;110;;58.370,70;;;01/07/2015;30/12/2017;Aprovado;28/12/2012;30/06/2015
1438;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.205.562-1;300.244;ASS EDUCACIONAL E DE ASSIST SOCIAL ESTACÃO SOLIDARIA;306.882;CR.P.CONV - BEM ME QUER;100;45;63.462,60;3.105,00;;09/09/2014;08/03/2017;Aprovado;09/09/2014;
366;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.317.441-0;300.455;INSTITUTO BEVENUTTO;308.046;CR.P.CONV - BENIGNA CARDOSO;117;41;69.886,37;6.000,00;;04/08/2016;04/02/2019;Aprovado;04/02/2014;04/08/2016
1470;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.300.131-2;800.019;INSTITUTO DE EDUCAÇÃO CONSOLATA;308.187;CR.P.CONV - BERNARDO GORA, PE;148;64;87.010,52;;;12/11/2014;11/05/2017;Aprovado;12/11/2014;
1468;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.246.984-1;301.096;ASS GUIADOS PELA FE;307.760;CR.P.CONV - BETEL;70;30;46.770,30;4.000,00;;29/09/2014;28/03/2017;Aprovado;29/09/2014;
491;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.408-7;300.580;SOCIEDADE BENEFICENTE CAMINHANDO PARA O FUTURO;306.285;CR.P.CONV - BRINCANDO TAMBEM SE APRENDE;84;16;50.371,24;5.692,02;;01/07/2015;31/12/2017;Aprovado;28/12/2012;24/06/2015
562;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.091.534-8;300.378;CLUBE DE MAES DO JARDIM VISTA ALEGRE;306.764;CR.P.CONV - CANTINHO DA SERRA;110;58;70.434,70;;;08/05/2014;07/11/2016;Aprovado;08/05/2014;08/05/2014
1934;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.346-3;300.378;CLUBE DE MAES DO JARDIM VISTA ALEGRE;306.885;CR.P.CONV - CANTINHO DA SERRA II;113;59;71.923,13;3.800,00;;20/06/2015;19/12/2017;Aprovado;12/12/2012;26/12/2014
320;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.063.444-4;300.378;CLUBE DE MAES DO JARDIM VISTA ALEGRE;306.930;CR.P.CONV - CANTINHO DA SERRA III;91;32;56.917,31;4.055,78;;20/11/2015;19/05/2018;Aprovado;20/05/2013;24/07/2015
326;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2009-0.266.230-5;300.058;ASS BENEFICENTE DE MAES ORDEM E PROGRESSO;306.812;CR.P.CONV - CANTINHO DO PROGRESSO II;100;41;62.630,60;6.000,00;;19/10/2014;18/04/2017;Aprovado;20/10/2009;08/06/2016
321;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.105.906-0;300.058;ASS BENEFICENTE DE MAES ORDEM E PROGRESSO;306.622;CR.P.CONV - CANTINHO DO PROGRESSO, C.E.I.;118;44;70.937,18;6.000,00;;19/12/2015;18/06/2018;Aprovado;19/06/2013;24/07/2015
1411;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.222.911-5;300.172;ASSOCIAÇÃO VALE VERDE;306.791;CR.P.CONV - CANTINHO VALE VERDE;156;52;87.674,44;4.508,00;;02/10/2014;01/04/2017;Aprovado;02/10/2014;
1272;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.283.028-5;300.759;ASSOCIAÇÃO UNIÃO DE MORADORES DO JARDIM VISTA ALEGRE;307.771;CR.P.CONV - CARLOS RAMIRO DE CASTRO, PROF;72;25;46.660,72;3.760,56;;01/12/2014;31/05/2017;Aprovado;01/12/2014;
330;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.500-8;300.431;NUCLEO COMUNITARIO DE VILA TEREZINHA;306.286;CR.P.CONV - CASA DA CRIANCA ST TEREZINHA;159;45;87.403,41;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;26/06/2015
2072;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.172.640-0;300.682;ASS PELO DESENVOLVIMENTO EDUCACIONAL E PROFISSIONAL ADEP;308.367;CR.P.CONV - CECILIA MEIRELES;134;48;78.152,66;8.000,00;;24/07/2015;23/01/2018;Aprovado;24/07/2015;
1446;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.169.833-2;300.716;CLUBE DE MAES ROSAS DO JD SANTA CRUZ;307.137;CR.P.CONV - CIRANDINHA DAS ROSAS;84;48;57.027,24;5.174,00;6.759,00;26/08/2014;25/02/2017;Aprovado;26/08/2014;06/07/2016
308;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.005.716-3;300.530;OBRAS SOCIAIS DO JARDIM RECANTO;308.067;CR.P.CONV - CLAUDIO TRUDELLE, PE;65;14;41.116,25;2.500,00;1.841,19;17/09/2016;16/03/2019;Aprovado;17/03/2014;17/03/2014
3773;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2016-0.185.479-6;800.248;ASSOCIACAO BRASILEIRA DE CAPACITACAO E CIDADANIA;308.698;CR.P.CONV - COMO NOSSOS PAIS;99;25;58.875,79;5.880,00;;19/09/2016;18/03/2019;Aprovado;19/09/2016;19/09/2016
335;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.497-4;300.315;CENTRO COMUNITARIO NOSSA SENHORA APARECIDA CCNSA;306.288;CR.P.CONV - CONSOLATA;184;;87.918,16;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;01/02/2016
466;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.405-2;300.432;NUCLEO CORACAO MATERNO;306.158;CR.P.CONV - CORACAO MATERNO;200;36;101.726,00;;;12/10/2015;11/04/2018;Aprovado;18/12/2012;18/12/2012
2069;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.184.419-5;800.065;ASSOCIAÇÃO DOS MORADORES E CENTRO INFANTIL SEMEANDO O SABER;306.665;CR.P.CONV - CORUJINHA;89;;49.369,29;3.969,00;;22/07/2015;21/01/2018;Aprovado;22/07/2015;
402;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.308.559-8;300.422;CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA;306.293;CR.P.CONV - CRECHE TIA LOURDES;100;;54.102,60;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;27/12/2012
2589;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2016-0.041.200-5;300.804;ASS BENEFICENTE PAZ E UNIAO DA CASA VERDE;307.973;CR.P.CONV - CRESCENDO PARA O FUTURO;153;55;87.113,47;9.000,00;;02/03/2016;01/09/2018;Aprovado;02/03/2016;
1391;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.302.852-0;300.258;ASS FEMININA DAS SERVIDORAS PUBLICAS DO BRASIL AFEMI;306.842;CR.P.CONV - CRIA;67;;39.134,67;;;29/10/2014;28/04/2017;Aprovado;29/10/2014;29/10/2014
2437;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.304.096-4;300.107;ASSOCIAÇÃO COMUNITARIA UM NOVO AMANHECER;306.911;CR.P.CONV - CRIANCA FELIZ;63;8;38.937,83;3.794,00;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015
1904;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.048.761-0;300.694;CENTRO DE TREINAMENTO DA VIDA - CT VIDA;307.814;CR.P.CONV - CT VIDA KIDS I;178;80;102.188,22;8.471,50;;11/01/2015;10/07/2017;Aprovado;11/07/2012;11/07/2012
343;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.282.491-5;300.602;UNIAO DOS MORADORES DA VILA PALMEIRAS E ADJACENCIAS;307.892;CR.P.CONV - CURUMIM;121;45;72.393,79;6.335,02;;29/05/2015;28/11/2017;Aprovado;29/11/2012;26/12/2014
2484;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2015-0.267.382-3;300.893;SOCIEDADE BENEMERENTE DO JARDIM DOS FRANCOS;308.002;CR.P.CONV - DONA NANINHA;130;44;75.740,70;5.609,81;;17/11/2015;16/05/2018;Aprovado;17/11/2015;17/11/2015
472;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2011-0.281.525-6;300.763;ASS BENEFICENTE E DE MUTIRANTES FABIO CANDIDO;307.681;CR.P.CONV - DOZE DE OUTUBRO;102;52;65.772,22;7.663,68;;28/05/2014;27/11/2016;Aprovado;28/05/2014;01/01/2016
413;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.077.167-0;300.283;CEI COMUNITARIA ECUMENICA SANTO EXPEDITO;306.287;CR.P.CONV - ECUMENICO STO EXPEDITO;121;;63.033,79;;;10/10/2015;09/04/2018;Aprovado;10/04/2013;12/08/2015
347;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.317.450-9;300.058;ASS BENEFICENTE DE MAES ORDEM E PROGRESSO;308.041;CR.P.CONV - EDNA MATTOS;94;45;60.901,74;5.100,39;;15/07/2016;14/01/2019;Aprovado;15/01/2014;15/07/2016
1460;108.400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.215.770-0;800.015;INSTITUTO ATIARA;308.154;CR.P.CONV - EMILIA FERREIRO;177;41;93.681,23;6.500,00;;09/10/2014;08/04/2017;Aprovado;09/10/2014;
